#Variables:
#tasmax(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.4379 Latitude, -98.5642 Longitude (closest value to Latitude:35.4504, Longitude:-98.5443) "
#Original Data File(s):
#agg_macav2metdata_tasmax_HadGEM2-ES365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmax(K)"
""
yyyy-mm-dd,tasmax(K)
2006-01-01,295.163239
2006-01-02,293.956665
2006-01-03,288.208099
2006-01-04,286.868927
2006-01-05,295.241058
2006-01-06,294.243591
2006-01-07,277.020691
2006-01-08,277.788513
2006-01-09,277.313232
2006-01-10,274.367706
2006-01-11,274.606232
2006-01-12,277.531281
2006-01-13,283.087708
2006-01-14,286.187805
2006-01-15,286.452271
2006-01-16,287.544891
2006-01-17,290.018829
2006-01-18,291.146393
2006-01-19,289.896332
2006-01-20,280.306793
2006-01-21,281.153809
2006-01-22,282.874878
2006-01-23,285.376526
2006-01-24,290.575714
2006-01-25,293.123688
2006-01-26,292.976166
2006-01-27,286.095886
2006-01-28,281.188080
2006-01-29,279.542877
2006-01-30,283.834045
2006-01-31,287.364136
2006-02-01,285.281189
2006-02-02,282.765625
2006-02-03,286.147797
2006-02-04,288.404419
2006-02-05,291.096100
2006-02-06,290.136078
2006-02-07,285.892273
2006-02-08,285.882996
2006-02-09,286.868530
2006-02-10,286.913635
2006-02-11,289.730560
2006-02-12,293.427643
2006-02-13,297.081238
2006-02-14,297.931885
2006-02-15,288.183197
2006-02-16,278.131989
2006-02-17,283.658112
2006-02-18,290.410950
2006-02-19,291.515839
2006-02-20,290.559052
2006-02-21,292.673798
2006-02-22,296.101257
2006-02-23,296.686798
2006-02-24,297.632202
2006-02-25,292.277985
2006-02-26,282.410919
2006-02-27,285.235413
2006-02-28,285.108612
2006-03-01,283.985626
2006-03-02,284.779755
2006-03-03,286.358459
2006-03-04,294.225616
2006-03-05,296.556732
2006-03-06,297.247101
2006-03-07,296.049225
2006-03-08,291.752838
2006-03-09,287.793945
2006-03-10,287.782745
2006-03-11,289.035400
2006-03-12,287.342987
2006-03-13,288.053925
2006-03-14,290.581146
2006-03-15,293.539795
2006-03-16,299.000092
2006-03-17,296.980255
2006-03-18,296.080841
2006-03-19,299.863220
2006-03-20,296.345581
2006-03-21,289.095612
2006-03-22,294.343353
2006-03-23,296.890839
2006-03-24,299.817566
2006-03-25,297.064423
2006-03-26,292.667389
2006-03-27,288.198090
2006-03-28,285.009766
2006-03-29,281.749298
2006-03-30,287.514648
2006-03-31,298.570160
2006-04-01,300.170410
2006-04-02,288.198975
2006-04-03,284.652466
2006-04-04,287.455200
2006-04-05,290.517181
2006-04-06,289.879425
2006-04-07,286.630005
2006-04-08,288.146423
2006-04-09,284.715179
2006-04-10,284.271881
2006-04-11,288.567383
2006-04-12,293.646515
2006-04-13,293.285339
2006-04-14,288.823914
2006-04-15,287.701782
2006-04-16,284.524902
2006-04-17,285.136078
2006-04-18,287.779999
2006-04-19,288.721252
2006-04-20,284.713287
2006-04-21,290.271118
2006-04-22,292.782837
2006-04-23,296.634247
2006-04-24,301.821106
2006-04-25,303.283661
2006-04-26,300.216492
2006-04-27,287.896271
2006-04-28,280.961670
2006-04-29,287.520905
2006-04-30,295.875793
2006-05-01,294.418152
2006-05-02,295.540161
2006-05-03,294.692444
2006-05-04,295.736176
2006-05-05,295.675934
2006-05-06,294.223358
2006-05-07,293.632568
2006-05-08,293.622589
2006-05-09,294.760651
2006-05-10,297.337646
2006-05-11,295.304810
2006-05-12,293.501373
2006-05-13,297.546661
2006-05-14,301.735413
2006-05-15,300.429474
2006-05-16,299.792786
2006-05-17,301.018921
2006-05-18,302.875397
2006-05-19,302.235504
2006-05-20,301.471741
2006-05-21,298.696045
2006-05-22,296.475647
2006-05-23,297.548462
2006-05-24,299.477325
2006-05-25,301.601837
2006-05-26,302.491791
2006-05-27,303.925903
2006-05-28,303.933105
2006-05-29,304.985870
2006-05-30,302.152588
2006-05-31,303.914520
2006-06-01,303.665436
2006-06-02,300.668213
2006-06-03,301.797180
2006-06-04,301.551483
2006-06-05,302.525024
2006-06-06,302.995087
2006-06-07,301.408997
2006-06-08,301.735352
2006-06-09,302.156860
2006-06-10,302.934662
2006-06-11,305.674744
2006-06-12,308.850739
2006-06-13,309.811462
2006-06-14,308.740601
2006-06-15,306.923523
2006-06-16,309.680511
2006-06-17,310.745911
2006-06-18,309.022156
2006-06-19,308.041016
2006-06-20,308.175293
2006-06-21,308.415680
2006-06-22,309.404968
2006-06-23,310.824554
2006-06-24,310.873505
2006-06-25,311.132294
2006-06-26,313.640411
2006-06-27,315.102448
2006-06-28,315.912720
2006-06-29,315.800476
2006-06-30,313.152679
2006-07-01,312.475616
2006-07-02,313.132782
2006-07-03,310.699066
2006-07-04,308.893707
2006-07-05,307.321045
2006-07-06,307.543060
2006-07-07,309.003113
2006-07-08,310.258423
2006-07-09,311.642975
2006-07-10,312.211182
2006-07-11,312.543793
2006-07-12,312.061188
2006-07-13,311.011871
2006-07-14,310.309998
2006-07-15,310.200226
2006-07-16,310.437439
2006-07-17,311.802917
2006-07-18,311.987854
2006-07-19,309.588196
2006-07-20,308.179321
2006-07-21,308.449921
2006-07-22,308.122803
2006-07-23,306.523590
2006-07-24,304.205353
2006-07-25,304.905243
2006-07-26,307.208893
2006-07-27,307.929260
2006-07-28,308.254578
2006-07-29,308.630524
2006-07-30,308.821350
2006-07-31,309.139740
2006-08-01,309.848053
2006-08-02,309.844269
2006-08-03,309.946808
2006-08-04,309.872650
2006-08-05,309.761963
2006-08-06,309.652313
2006-08-07,308.636444
2006-08-08,309.340179
2006-08-09,311.727753
2006-08-10,310.376587
2006-08-11,309.691833
2006-08-12,312.059143
2006-08-13,313.632477
2006-08-14,314.507721
2006-08-15,312.484589
2006-08-16,311.059570
2006-08-17,312.659698
2006-08-18,314.170807
2006-08-19,315.508789
2006-08-20,316.394836
2006-08-21,316.203064
2006-08-22,315.070435
2006-08-23,313.643555
2006-08-24,313.459198
2006-08-25,312.792572
2006-08-26,311.393341
2006-08-27,310.376770
2006-08-28,310.974518
2006-08-29,310.444763
2006-08-30,310.135193
2006-08-31,310.404053
2006-09-01,310.853607
2006-09-02,312.063721
2006-09-03,313.104828
2006-09-04,310.951172
2006-09-05,308.167389
2006-09-06,307.588684
2006-09-07,307.130768
2006-09-08,306.104401
2006-09-09,305.972351
2006-09-10,306.561493
2006-09-11,307.308350
2006-09-12,307.576477
2006-09-13,308.914825
2006-09-14,310.678223
2006-09-15,310.819427
2006-09-16,311.492859
2006-09-17,310.940887
2006-09-18,302.248962
2006-09-19,298.696747
2006-09-20,305.621857
2006-09-21,306.318237
2006-09-22,307.989807
2006-09-23,309.019867
2006-09-24,310.634399
2006-09-25,310.697998
2006-09-26,305.834778
2006-09-27,299.635773
2006-09-28,305.977692
2006-09-29,307.487732
2006-09-30,306.886749
2006-10-01,307.065186
2006-10-02,306.935486
2006-10-03,306.811829
2006-10-04,306.060486
2006-10-05,305.316895
2006-10-06,304.160889
2006-10-07,303.754730
2006-10-08,305.012878
2006-10-09,306.908051
2006-10-10,305.607788
2006-10-11,305.783356
2006-10-12,306.469818
2006-10-13,303.753174
2006-10-14,297.255005
2006-10-15,303.109772
2006-10-16,305.369751
2006-10-17,303.002289
2006-10-18,304.826294
2006-10-19,305.420685
2006-10-20,301.548584
2006-10-21,298.606781
2006-10-22,301.299774
2006-10-23,305.421478
2006-10-24,306.391968
2006-10-25,304.836517
2006-10-26,302.434601
2006-10-27,304.468842
2006-10-28,303.958649
2006-10-29,303.236908
2006-10-30,296.975220
2006-10-31,290.976746
2006-11-01,289.325317
2006-11-02,286.624695
2006-11-03,282.718719
2006-11-04,273.317688
2006-11-05,278.324768
2006-11-06,281.404663
2006-11-07,284.518188
2006-11-08,289.970825
2006-11-09,296.261780
2006-11-10,295.911438
2006-11-11,279.131592
2006-11-12,275.829529
2006-11-13,278.624084
2006-11-14,281.163910
2006-11-15,284.293091
2006-11-16,286.935730
2006-11-17,290.739227
2006-11-18,292.392975
2006-11-19,293.160339
2006-11-20,293.419495
2006-11-21,284.493774
2006-11-22,280.623871
2006-11-23,284.355103
2006-11-24,289.115265
2006-11-25,291.850189
2006-11-26,292.059967
2006-11-27,292.703613
2006-11-28,292.343048
2006-11-29,287.491638
2006-11-30,285.190430
2006-12-01,289.154877
2006-12-02,291.549957
2006-12-03,294.451080
2006-12-04,296.412994
2006-12-05,291.499420
2006-12-06,284.268738
2006-12-07,286.175140
2006-12-08,291.055176
2006-12-09,292.041229
2006-12-10,286.462372
2006-12-11,285.083008
2006-12-12,291.234222
2006-12-13,289.261047
2006-12-14,287.759247
2006-12-15,293.695068
2006-12-16,289.477325
2006-12-17,270.625854
2006-12-18,274.819214
2006-12-19,279.370361
2006-12-20,283.400116
2006-12-21,288.449921
2006-12-22,287.112701
2006-12-23,283.014893
2006-12-24,274.729370
