#Variables:
#tasmax(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.4379 Latitude, -98.5642 Longitude (closest value to Latitude:35.4504, Longitude:-98.5443) "
#Original Data File(s):
#agg_macav2metdata_tasmax_IPSL-CM5A-MR_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmax(K)"
""
yyyy-mm-dd,tasmax(K)
2006-01-01,285.769409
2006-01-02,287.735657
2006-01-03,294.945312
2006-01-04,295.311035
2006-01-05,295.938965
2006-01-06,290.505310
2006-01-07,291.744629
2006-01-08,293.835815
2006-01-09,287.372925
2006-01-10,281.284332
2006-01-11,288.147949
2006-01-12,294.939636
2006-01-13,286.152374
2006-01-14,286.874329
2006-01-15,281.266663
2006-01-16,274.711456
2006-01-17,268.856506
2006-01-18,274.020477
2006-01-19,281.007782
2006-01-20,284.211975
2006-01-21,289.521027
2006-01-22,287.854492
2006-01-23,289.302063
2006-01-24,283.090057
2006-01-25,278.344177
2006-01-26,270.338776
2006-01-27,269.823456
2006-01-28,274.978058
2006-01-29,278.896393
2006-01-30,279.225586
2006-01-31,275.016052
2006-02-01,276.205505
2006-02-02,284.997925
2006-02-03,286.309418
2006-02-04,283.821198
2006-02-05,276.674683
2006-02-06,278.261780
2006-02-07,283.077423
2006-02-08,301.556396
2006-02-09,296.236084
2006-02-10,287.891785
2006-02-11,294.069122
2006-02-12,299.926636
2006-02-13,294.152191
2006-02-14,280.437378
2006-02-15,280.620728
2006-02-16,280.829193
2006-02-17,283.144165
2006-02-18,280.799408
2006-02-19,283.001221
2006-02-20,280.833771
2006-02-21,278.689423
2006-02-22,280.050385
2006-02-23,280.658783
2006-02-24,285.798126
2006-02-25,289.945526
2006-02-26,295.584778
2006-02-27,290.262909
2006-02-28,291.197968
2006-03-01,295.004883
2006-03-02,294.872650
2006-03-03,294.645416
2006-03-04,301.345245
2006-03-05,298.525360
2006-03-06,294.155273
2006-03-07,290.492462
2006-03-08,286.450500
2006-03-09,285.208954
2006-03-10,293.334930
2006-03-11,301.470673
2006-03-12,297.480865
2006-03-13,290.590118
2006-03-14,286.967896
2006-03-15,283.882263
2006-03-16,286.856689
2006-03-17,293.852539
2006-03-18,293.220612
2006-03-19,287.159729
2006-03-20,280.818573
2006-03-21,287.773346
2006-03-22,285.852081
2006-03-23,281.867310
2006-03-24,289.060974
2006-03-25,291.269470
2006-03-26,300.611633
2006-03-27,297.860779
2006-03-28,294.359711
2006-03-29,301.227386
2006-03-30,301.575623
2006-03-31,302.259460
2006-04-01,302.371368
2006-04-02,305.232971
2006-04-03,302.129761
2006-04-04,297.795990
2006-04-05,292.188660
2006-04-06,292.799438
2006-04-07,295.292664
2006-04-08,298.998077
2006-04-09,302.600861
2006-04-10,304.360809
2006-04-11,302.302032
2006-04-12,302.371643
2006-04-13,298.202942
2006-04-14,292.591339
2006-04-15,293.065216
2006-04-16,303.399384
2006-04-17,300.589142
2006-04-18,298.198151
2006-04-19,297.910553
2006-04-20,297.231476
2006-04-21,291.972351
2006-04-22,296.277557
2006-04-23,294.607635
2006-04-24,303.590881
2006-04-25,307.862335
2006-04-26,304.498535
2006-04-27,298.059601
2006-04-28,303.612885
2006-04-29,302.598450
2006-04-30,304.183289
2006-05-01,298.101440
2006-05-02,297.379547
2006-05-03,300.982391
2006-05-04,303.150543
2006-05-05,301.529968
2006-05-06,294.814606
2006-05-07,299.953217
2006-05-08,298.413391
2006-05-09,300.929535
2006-05-10,304.506958
2006-05-11,299.884064
2006-05-12,299.379639
2006-05-13,299.756683
2006-05-14,299.902222
2006-05-15,301.307556
2006-05-16,301.484650
2006-05-17,304.591827
2006-05-18,303.534668
2006-05-19,303.146301
2006-05-20,298.219299
2006-05-21,305.857178
2006-05-22,307.450256
2006-05-23,307.217560
2006-05-24,305.307770
2006-05-25,305.790436
2006-05-26,301.286102
2006-05-27,304.528320
2006-05-28,303.899658
2006-05-29,310.181213
2006-05-30,306.676483
2006-05-31,303.207672
2006-06-01,298.667664
2006-06-02,299.402252
2006-06-03,299.728668
2006-06-04,303.107910
2006-06-05,307.174683
2006-06-06,308.433990
2006-06-07,309.807495
2006-06-08,308.614075
2006-06-09,307.666443
2006-06-10,307.002808
2006-06-11,310.276703
2006-06-12,307.938904
2006-06-13,308.210236
2006-06-14,310.187744
2006-06-15,309.767853
2006-06-16,310.178741
2006-06-17,307.740936
2006-06-18,304.362183
2006-06-19,305.416687
2006-06-20,306.394867
2006-06-21,305.305511
2006-06-22,306.244324
2006-06-23,302.711639
2006-06-24,301.668610
2006-06-25,301.411438
2006-06-26,301.323730
2006-06-27,301.979004
2006-06-28,302.854279
2006-06-29,302.867645
2006-06-30,303.893738
2006-07-01,306.516937
2006-07-02,305.439362
2006-07-03,306.668945
2006-07-04,307.749969
2006-07-05,305.521515
2006-07-06,301.438477
2006-07-07,302.761047
2006-07-08,303.837250
2006-07-09,304.328094
2006-07-10,305.400726
2006-07-11,303.701080
2006-07-12,301.277893
2006-07-13,302.569733
2006-07-14,306.773407
2006-07-15,302.164581
2006-07-16,301.631317
2006-07-17,307.642426
2006-07-18,306.674683
2006-07-19,308.738495
2006-07-20,309.813660
2006-07-21,310.490540
2006-07-22,311.300201
2006-07-23,311.376465
2006-07-24,309.568481
2006-07-25,309.469360
2006-07-26,308.684509
2006-07-27,307.758453
2006-07-28,310.851593
2006-07-29,311.848206
2006-07-30,309.453522
2006-07-31,306.104401
2006-08-01,309.409302
2006-08-02,308.058685
2006-08-03,309.098022
2006-08-04,310.288544
2006-08-05,310.596069
2006-08-06,311.106750
2006-08-07,310.472687
2006-08-08,309.929504
2006-08-09,308.195740
2006-08-10,308.000336
2006-08-11,308.796326
2006-08-12,307.856598
2006-08-13,307.274445
2006-08-14,309.223724
2006-08-15,307.470459
2006-08-16,305.041229
2006-08-17,306.275848
2006-08-18,306.090790
2006-08-19,306.047913
2006-08-20,308.278442
2006-08-21,309.865417
2006-08-22,310.361908
2006-08-23,310.394562
2006-08-24,308.455292
2006-08-25,307.036865
2006-08-26,308.725647
2006-08-27,309.769623
2006-08-28,309.384003
2006-08-29,310.033325
2006-08-30,311.352631
2006-08-31,310.325378
2006-09-01,309.805023
2006-09-02,311.194702
2006-09-03,311.872498
2006-09-04,309.317413
2006-09-05,306.551483
2006-09-06,304.600647
2006-09-07,305.196075
2006-09-08,305.207611
2006-09-09,308.162842
2006-09-10,300.212280
2006-09-11,302.701111
2006-09-12,303.119263
2006-09-13,303.764771
2006-09-14,307.999359
2006-09-15,306.006439
2006-09-16,301.731079
2006-09-17,300.640533
2006-09-18,302.029694
2006-09-19,302.599396
2006-09-20,301.221832
2006-09-21,299.896606
2006-09-22,299.901520
2006-09-23,301.043182
2006-09-24,302.624634
2006-09-25,302.278534
2006-09-26,302.779449
2006-09-27,301.039276
2006-09-28,303.971802
2006-09-29,303.785767
2006-09-30,302.104370
2006-10-01,300.840546
2006-10-02,301.071442
2006-10-03,304.461945
2006-10-04,295.452087
2006-10-05,295.077362
2006-10-06,296.659668
2006-10-07,297.052399
2006-10-08,293.094055
2006-10-09,299.112732
2006-10-10,289.585571
2006-10-11,287.891388
2006-10-12,294.329041
2006-10-13,299.462433
2006-10-14,297.836731
2006-10-15,295.453125
2006-10-16,297.896271
2006-10-17,299.349030
2006-10-18,301.568604
2006-10-19,298.819763
2006-10-20,296.625702
2006-10-21,295.031189
2006-10-22,291.539917
2006-10-23,285.110016
2006-10-24,284.580963
2006-10-25,284.848633
2006-10-26,287.759949
2006-10-27,291.331696
2006-10-28,293.809601
2006-10-29,295.410156
2006-10-30,290.652954
2006-10-31,288.978699
2006-11-01,294.588257
2006-11-02,296.374329
2006-11-03,299.095062
2006-11-04,296.779053
2006-11-05,288.592621
2006-11-06,283.855865
2006-11-07,285.656403
2006-11-08,284.698669
2006-11-09,284.671173
2006-11-10,283.842163
2006-11-11,281.880859
2006-11-12,283.141174
2006-11-13,284.954437
2006-11-14,285.765656
2006-11-15,288.507843
2006-11-16,288.598389
2006-11-17,290.879272
2006-11-18,288.162415
2006-11-19,283.791534
2006-11-20,289.165833
2006-11-21,289.425964
2006-11-22,288.542419
2006-11-23,288.505005
2006-11-24,278.486786
2006-11-25,281.726624
2006-11-26,281.306000
2006-11-27,281.827271
2006-11-28,281.750183
2006-11-29,283.443329
2006-11-30,288.991150
2006-12-01,294.547455
2006-12-02,292.813141
2006-12-03,283.751099
2006-12-04,289.780243
2006-12-05,287.340973
2006-12-06,284.272644
2006-12-07,288.024902
2006-12-08,288.583313
2006-12-09,285.679962
2006-12-10,286.967804
2006-12-11,290.794037
2006-12-12,292.846039
2006-12-13,291.253784
2006-12-14,290.824127
2006-12-15,287.694641
2006-12-16,285.270599
2006-12-17,284.826721
2006-12-18,284.612427
2006-12-19,282.881073
2006-12-20,283.047058
2006-12-21,285.745544
2006-12-22,283.821625
2006-12-23,281.182770
2006-12-24,280.916901
