#Variables:
#tasmin(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.4379 Latitude, -98.5642 Longitude (closest value to Latitude:35.4504, Longitude:-98.5443) "
#Original Data File(s):
#agg_macav2metdata_tasmin_GFDL-ESM2M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin(K)"
""
yyyy-mm-dd,tasmin(K)
2006-01-01,259.435699
2006-01-02,261.236694
2006-01-03,261.958282
2006-01-04,266.616638
2006-01-05,264.404266
2006-01-06,263.487305
2006-01-07,262.975525
2006-01-08,261.142517
2006-01-09,266.977356
2006-01-10,266.899658
2006-01-11,266.045746
2006-01-12,267.644470
2006-01-13,268.059204
2006-01-14,268.972839
2006-01-15,266.587097
2006-01-16,268.332672
2006-01-17,273.103088
2006-01-18,277.777313
2006-01-19,274.283783
2006-01-20,274.355682
2006-01-21,267.402771
2006-01-22,262.637604
2006-01-23,267.634338
2006-01-24,270.416962
2006-01-25,273.963013
2006-01-26,270.908722
2006-01-27,263.242126
2006-01-28,263.281708
2006-01-29,267.456940
2006-01-30,271.234070
2006-01-31,277.574799
2006-02-01,266.121124
2006-02-02,261.573730
2006-02-03,263.182495
2006-02-04,266.129974
2006-02-05,269.410736
2006-02-06,273.756866
2006-02-07,269.830353
2006-02-08,279.204376
2006-02-09,274.423859
2006-02-10,273.299866
2006-02-11,270.781219
2006-02-12,271.346924
2006-02-13,273.167603
2006-02-14,273.071472
2006-02-15,274.546478
2006-02-16,276.914795
2006-02-17,272.794861
2006-02-18,270.149719
2006-02-19,275.284210
2006-02-20,274.022430
2006-02-21,273.222626
2006-02-22,275.507477
2006-02-23,277.987152
2006-02-24,280.094604
2006-02-25,280.924011
2006-02-26,276.656250
2006-02-27,273.650726
2006-02-28,272.214539
2006-03-01,272.315643
2006-03-02,275.370636
2006-03-03,279.384613
2006-03-04,277.568024
2006-03-05,273.997040
2006-03-06,271.129639
2006-03-07,279.039734
2006-03-08,279.432220
2006-03-09,277.275879
2006-03-10,284.892242
2006-03-11,288.105255
2006-03-12,281.335022
2006-03-13,275.193634
2006-03-14,274.167999
2006-03-15,276.942139
2006-03-16,274.288330
