#Variables:
#tasmax(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3962 Latitude, -98.5226 Longitude (closest value to Latitude:35.3915, Longitude:-98.5138) "
#Original Data File(s):
#agg_macav2metdata_tasmax_CSIRO-Mk3-6-0_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmax(K)"
""
yyyy-mm-dd,tasmax(K)
2006-01-01,290.392761
2006-01-02,288.034058
2006-01-03,283.290558
2006-01-04,276.056580
2006-01-05,281.062561
2006-01-06,285.428436
2006-01-07,284.640930
2006-01-08,284.891296
2006-01-09,283.354309
2006-01-10,285.190430
2006-01-11,285.610809
2006-01-12,289.943207
2006-01-13,293.881134
2006-01-14,292.811005
2006-01-15,284.463562
2006-01-16,275.891876
2006-01-17,281.860291
2006-01-18,280.882751
2006-01-19,278.785004
2006-01-20,276.251617
2006-01-21,281.815552
2006-01-22,290.793396
2006-01-23,291.701813
2006-01-24,294.680359
2006-01-25,293.534454
2006-01-26,290.765289
2006-01-27,286.671783
2006-01-28,289.846436
2006-01-29,287.437897
2006-01-30,286.939209
2006-01-31,288.453949
2006-02-01,293.345367
2006-02-02,290.568298
2006-02-03,289.954041
2006-02-04,281.633240
2006-02-05,280.950592
2006-02-06,289.946777
2006-02-07,293.685699
2006-02-08,297.454834
2006-02-09,295.748413
2006-02-10,291.838776
2006-02-11,287.347076
2006-02-12,284.328583
2006-02-13,289.360565
2006-02-14,294.188721
2006-02-15,293.032104
2006-02-16,292.413757
2006-02-17,290.630127
2006-02-18,280.953949
2006-02-19,278.142456
2006-02-20,279.986908
2006-02-21,284.822845
2006-02-22,288.911011
2006-02-23,293.526093
2006-02-24,292.942810
2006-02-25,293.125397
2006-02-26,291.330475
2006-02-27,291.282074
2006-02-28,296.773193
2006-03-01,294.700562
2006-03-02,290.349152
2006-03-03,292.417419
2006-03-04,290.739410
2006-03-05,287.227478
2006-03-06,294.015015
2006-03-07,291.623199
2006-03-08,288.810791
2006-03-09,296.556824
2006-03-10,301.296661
2006-03-11,302.934235
2006-03-12,300.084351
2006-03-13,296.779358
2006-03-14,294.828766
2006-03-15,293.399994
2006-03-16,296.807770
2006-03-17,294.019775
2006-03-18,296.966949
2006-03-19,292.039703
2006-03-20,283.923553
2006-03-21,290.111572
2006-03-22,292.797913
2006-03-23,291.180634
2006-03-24,287.167297
2006-03-25,283.898468
2006-03-26,295.426270
2006-03-27,293.162323
2006-03-28,290.444916
2006-03-29,293.338013
2006-03-30,297.034088
2006-03-31,297.654999
2006-04-01,291.797913
2006-04-02,286.440399
2006-04-03,286.446014
2006-04-04,285.178436
2006-04-05,289.163849
2006-04-06,291.384979
2006-04-07,292.216644
2006-04-08,287.540894
2006-04-09,289.947144
2006-04-10,295.139130
2006-04-11,296.291962
2006-04-12,291.468994
2006-04-13,286.742798
2006-04-14,291.875275
2006-04-15,301.161194
2006-04-16,298.628845
2006-04-17,295.979462
2006-04-18,297.453033
2006-04-19,296.666718
2006-04-20,298.273346
2006-04-21,300.866302
2006-04-22,300.376129
2006-04-23,297.992859
2006-04-24,300.470367
2006-04-25,300.772858
2006-04-26,299.249359
2006-04-27,299.121124
2006-04-28,303.547516
2006-04-29,302.891846
2006-04-30,295.018005
2006-05-01,298.408539
2006-05-02,304.891876
2006-05-03,301.331238
2006-05-04,299.843964
2006-05-05,297.265564
2006-05-06,298.996735
2006-05-07,306.612640
2006-05-08,306.200836
2006-05-09,297.300262
2006-05-10,302.123779
2006-05-11,305.837830
2006-05-12,309.783447
2006-05-13,307.225342
2006-05-14,300.661774
2006-05-15,299.345093
2006-05-16,298.529022
2006-05-17,300.513977
2006-05-18,301.514893
2006-05-19,298.161804
2006-05-20,299.526611
2006-05-21,300.889313
2006-05-22,303.234650
2006-05-23,301.852386
2006-05-24,299.697266
2006-05-25,292.508484
2006-05-26,304.329376
2006-05-27,300.883698
2006-05-28,300.941833
2006-05-29,301.862823
2006-05-30,302.582275
2006-05-31,301.384155
2006-06-01,302.424957
2006-06-02,304.502258
2006-06-03,304.720886
2006-06-04,303.755646
2006-06-05,304.346008
2006-06-06,302.556335
2006-06-07,304.622223
2006-06-08,302.280579
2006-06-09,305.591797
2006-06-10,300.503540
2006-06-11,302.754822
2006-06-12,303.094452
2006-06-13,300.937744
2006-06-14,302.471527
2006-06-15,302.401703
2006-06-16,302.631622
2006-06-17,303.289276
2006-06-18,304.096741
2006-06-19,304.689941
2006-06-20,306.588562
2006-06-21,305.796967
2006-06-22,305.704620
2006-06-23,305.250885
2006-06-24,303.737457
2006-06-25,304.275452
2006-06-26,302.201324
2006-06-27,305.616241
2006-06-28,307.685425
2006-06-29,307.756958
2006-06-30,308.230194
2006-07-01,307.579559
2006-07-02,307.284363
2006-07-03,308.587555
2006-07-04,309.368256
2006-07-05,309.172272
2006-07-06,307.236481
2006-07-07,308.630829
2006-07-08,310.184174
2006-07-09,309.473633
2006-07-10,308.013611
2006-07-11,306.392792
2006-07-12,307.122620
2006-07-13,308.633057
2006-07-14,308.720398
2006-07-15,309.381042
2006-07-16,309.786255
2006-07-17,309.999390
2006-07-18,311.505341
2006-07-19,312.647461
2006-07-20,313.085693
2006-07-21,313.240204
2006-07-22,311.612396
2006-07-23,309.168488
2006-07-24,308.620483
2006-07-25,307.573456
2006-07-26,305.687408
2006-07-27,306.918976
2006-07-28,306.318085
2006-07-29,307.046722
2006-07-30,308.889893
2006-07-31,311.149689
2006-08-01,309.878143
2006-08-02,307.778076
2006-08-03,307.867615
2006-08-04,309.922211
2006-08-05,310.316223
2006-08-06,311.098694
2006-08-07,310.161163
2006-08-08,308.120087
2006-08-09,305.320831
2006-08-10,304.934174
2006-08-11,308.104675
2006-08-12,309.450714
2006-08-13,308.716309
2006-08-14,310.011017
2006-08-15,311.927185
2006-08-16,312.950806
2006-08-17,314.960449
2006-08-18,314.980804
2006-08-19,314.618286
2006-08-20,313.826813
2006-08-21,313.190613
2006-08-22,312.812347
2006-08-23,312.961914
2006-08-24,311.884308
2006-08-25,312.983215
2006-08-26,311.042694
2006-08-27,309.862701
2006-08-28,308.225800
2006-08-29,309.465881
2006-08-30,308.603333
2006-08-31,308.264709
2006-09-01,309.813477
2006-09-02,309.612213
2006-09-03,311.667450
2006-09-04,310.523468
2006-09-05,307.023834
2006-09-06,304.320129
2006-09-07,303.951965
2006-09-08,303.886536
2006-09-09,297.647339
2006-09-10,302.813629
2006-09-11,304.264771
2006-09-12,302.866760
2006-09-13,306.090179
2006-09-14,307.643036
2006-09-15,306.107422
2006-09-16,306.377075
2006-09-17,304.973999
2006-09-18,304.046478
2006-09-19,304.705627
2006-09-20,302.291290
2006-09-21,303.379181
2006-09-22,306.211853
2006-09-23,304.937347
2006-09-24,301.239777
2006-09-25,289.083374
2006-09-26,289.889435
2006-09-27,290.319427
2006-09-28,297.062317
2006-09-29,298.520416
2006-09-30,300.227844
2006-10-01,301.203339
2006-10-02,301.020752
2006-10-03,300.258636
2006-10-04,300.278320
2006-10-05,301.094360
2006-10-06,298.925354
2006-10-07,298.471466
2006-10-08,299.421906
2006-10-09,301.105072
2006-10-10,302.339813
2006-10-11,302.289612
2006-10-12,302.661591
2006-10-13,298.152069
2006-10-14,294.402649
2006-10-15,298.302582
2006-10-16,297.718140
2006-10-17,300.526398
2006-10-18,299.273651
2006-10-19,302.963135
2006-10-20,300.331238
2006-10-21,304.482391
2006-10-22,301.902191
2006-10-23,295.698853
2006-10-24,304.865112
2006-10-25,302.379059
2006-10-26,291.443726
2006-10-27,296.449463
2006-10-28,295.599548
2006-10-29,301.882996
2006-10-30,303.252869
2006-10-31,298.460083
2006-11-01,295.650177
2006-11-02,291.393341
2006-11-03,299.996277
2006-11-04,300.400208
2006-11-05,302.314423
2006-11-06,300.050262
2006-11-07,302.550964
2006-11-08,298.181427
2006-11-09,295.600067
2006-11-10,298.178894
2006-11-11,295.799408
2006-11-12,297.073334
2006-11-13,296.461945
2006-11-14,293.753540
2006-11-15,292.508026
2006-11-16,296.629913
2006-11-17,293.868774
2006-11-18,289.862000
2006-11-19,291.663666
2006-11-20,294.453522
2006-11-21,292.243774
2006-11-22,287.825043
2006-11-23,286.910553
2006-11-24,290.951050
2006-11-25,292.264771
2006-11-26,293.478424
2006-11-27,293.913239
2006-11-28,292.656189
2006-11-29,282.484894
2006-11-30,287.504944
2006-12-01,290.561554
2006-12-02,285.988495
2006-12-03,290.598053
2006-12-04,293.473053
2006-12-05,290.751587
2006-12-06,292.669708
2006-12-07,294.834167
2006-12-08,295.187988
2006-12-09,294.261719
2006-12-10,287.954193
2006-12-11,292.630707
2006-12-12,290.794098
2006-12-13,285.778442
2006-12-14,288.918304
2006-12-15,289.568115
2006-12-16,288.098389
2006-12-17,288.335083
2006-12-18,287.391937
2006-12-19,289.962372
2006-12-20,289.478882
2006-12-21,295.943634
2006-12-22,291.608765
2006-12-23,291.571655
2006-12-24,294.434052
