#Variables:
#tasmax(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3962 Latitude, -98.5226 Longitude (closest value to Latitude:35.3915, Longitude:-98.5138) "
#Original Data File(s):
#agg_macav2metdata_tasmax_CanESM2_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmax(K)"
""
yyyy-mm-dd,tasmax(K)
2006-01-01,286.862518
2006-01-02,284.970612
2006-01-03,280.612457
2006-01-04,271.326752
2006-01-05,270.329559
2006-01-06,273.562561
2006-01-07,271.793518
2006-01-08,275.280670
2006-01-09,276.602570
2006-01-10,276.505798
2006-01-11,278.960327
2006-01-12,272.714783
2006-01-13,274.378448
2006-01-14,276.498016
2006-01-15,273.799408
2006-01-16,278.531189
2006-01-17,277.702026
2006-01-18,277.975800
2006-01-19,280.269012
2006-01-20,281.976929
2006-01-21,284.297180
2006-01-22,283.448944
2006-01-23,280.628479
2006-01-24,277.932190
2006-01-25,278.788879
2006-01-26,276.698669
2006-01-27,272.778564
2006-01-28,276.250092
2006-01-29,274.349792
2006-01-30,274.925598
2006-01-31,277.570251
2006-02-01,282.054535
2006-02-02,279.757385
2006-02-03,272.596100
2006-02-04,275.340088
2006-02-05,280.631104
2006-02-06,274.439728
2006-02-07,275.569702
2006-02-08,281.700958
2006-02-09,276.371857
2006-02-10,275.383636
2006-02-11,280.532684
2006-02-12,284.424927
2006-02-13,280.672821
2006-02-14,289.587097
2006-02-15,288.300201
2006-02-16,290.937958
2006-02-17,284.539215
2006-02-18,289.688568
2006-02-19,293.661713
2006-02-20,292.099426
2006-02-21,287.036530
2006-02-22,285.876709
2006-02-23,294.925140
2006-02-24,288.414856
2006-02-25,285.436554
2006-02-26,288.942871
2006-02-27,283.592407
2006-02-28,285.097900
2006-03-01,287.986908
2006-03-02,288.308380
2006-03-03,290.762451
2006-03-04,294.287048
2006-03-05,295.412689
2006-03-06,297.679657
2006-03-07,290.357330
2006-03-08,290.044678
2006-03-09,294.143555
2006-03-10,295.298737
2006-03-11,291.534576
2006-03-12,287.225189
2006-03-13,284.807037
2006-03-14,288.608704
2006-03-15,294.639069
2006-03-16,294.846588
2006-03-17,286.940979
2006-03-18,284.937653
2006-03-19,281.567291
2006-03-20,280.314850
2006-03-21,275.170319
2006-03-22,280.659302
2006-03-23,280.574219
2006-03-24,284.529449
2006-03-25,280.609131
2006-03-26,284.971130
2006-03-27,289.233704
2006-03-28,289.576202
2006-03-29,286.484192
2006-03-30,287.912140
2006-03-31,287.140167
2006-04-01,288.931732
2006-04-02,288.523987
2006-04-03,294.903351
2006-04-04,287.822845
2006-04-05,280.839325
2006-04-06,287.091370
2006-04-07,297.328979
2006-04-08,303.536102
2006-04-09,301.445160
2006-04-10,295.581268
2006-04-11,294.734863
2006-04-12,298.907867
2006-04-13,296.906677
2006-04-14,286.902954
2006-04-15,287.425110
2006-04-16,294.471252
2006-04-17,297.548523
2006-04-18,297.865265
2006-04-19,302.196533
2006-04-20,305.375854
2006-04-21,304.959717
2006-04-22,297.078888
2006-04-23,294.685760
2006-04-24,294.092987
2006-04-25,295.663513
2006-04-26,297.117676
2006-04-27,292.857941
2006-04-28,291.931274
2006-04-29,291.193970
2006-04-30,299.835632
2006-05-01,300.699280
2006-05-02,303.957672
2006-05-03,307.946594
2006-05-04,303.426147
2006-05-05,300.873810
2006-05-06,304.279785
2006-05-07,304.122437
2006-05-08,302.748596
2006-05-09,305.426514
2006-05-10,299.097443
2006-05-11,302.216583
2006-05-12,302.993225
2006-05-13,300.649689
2006-05-14,291.515930
2006-05-15,293.382416
2006-05-16,292.771179
2006-05-17,296.417572
2006-05-18,293.169037
2006-05-19,297.347168
2006-05-20,299.156342
2006-05-21,299.274445
2006-05-22,300.486786
2006-05-23,305.694641
2006-05-24,293.900146
2006-05-25,299.034821
2006-05-26,298.246155
2006-05-27,300.835663
2006-05-28,302.785522
2006-05-29,307.078217
2006-05-30,308.590240
2006-05-31,307.017731
2006-06-01,307.895447
2006-06-02,305.111053
2006-06-03,303.676788
2006-06-04,302.943909
2006-06-05,305.663727
2006-06-06,305.572968
2006-06-07,306.328857
2006-06-08,309.302399
2006-06-09,306.644592
2006-06-10,304.819702
2006-06-11,305.713715
2006-06-12,304.775696
2006-06-13,303.613525
2006-06-14,303.944122
2006-06-15,304.836609
2006-06-16,305.267975
2006-06-17,300.509857
2006-06-18,302.957062
2006-06-19,304.079498
2006-06-20,304.897644
2006-06-21,307.005951
2006-06-22,307.294067
2006-06-23,307.124908
2006-06-24,303.642914
2006-06-25,304.356873
2006-06-26,304.140411
2006-06-27,307.755676
2006-06-28,305.274811
2006-06-29,301.445679
2006-06-30,308.564209
2006-07-01,308.595337
2006-07-02,307.853241
2006-07-03,306.959503
2006-07-04,306.236969
2006-07-05,307.437775
2006-07-06,306.001038
2006-07-07,305.926392
2006-07-08,306.881287
2006-07-09,306.868896
2006-07-10,308.566986
2006-07-11,306.797882
2006-07-12,305.079926
2006-07-13,305.281586
2006-07-14,305.255554
2006-07-15,305.285461
2006-07-16,305.219788
2006-07-17,306.829041
2006-07-18,307.365234
2006-07-19,303.228729
2006-07-20,302.546234
2006-07-21,304.988770
2006-07-22,307.802338
2006-07-23,308.820312
2006-07-24,310.783051
2006-07-25,311.796051
2006-07-26,311.583771
2006-07-27,310.910645
2006-07-28,311.009460
2006-07-29,310.656708
2006-07-30,310.752625
2006-07-31,312.673370
2006-08-01,312.741669
2006-08-02,313.119781
2006-08-03,314.492096
2006-08-04,315.710754
2006-08-05,316.502014
2006-08-06,313.954529
2006-08-07,310.026001
2006-08-08,311.567169
2006-08-09,308.809448
2006-08-10,306.023010
2006-08-11,309.124725
2006-08-12,310.539673
2006-08-13,311.028107
2006-08-14,310.446259
2006-08-15,309.048157
2006-08-16,309.389740
2006-08-17,309.388184
2006-08-18,308.927094
2006-08-19,303.850037
2006-08-20,305.697021
2006-08-21,308.030548
2006-08-22,311.520691
2006-08-23,309.931885
2006-08-24,310.557281
2006-08-25,310.351746
2006-08-26,313.282257
2006-08-27,313.478302
2006-08-28,312.153931
2006-08-29,312.480408
2006-08-30,313.855652
2006-08-31,315.057251
2006-09-01,313.708527
2006-09-02,307.880951
2006-09-03,304.977997
2006-09-04,304.826324
2006-09-05,306.978455
2006-09-06,308.915497
2006-09-07,309.246429
2006-09-08,309.699799
2006-09-09,304.708008
2006-09-10,304.001251
2006-09-11,305.075623
2006-09-12,302.560333
2006-09-13,303.912231
2006-09-14,303.749023
2006-09-15,307.483185
2006-09-16,309.921692
2006-09-17,307.010162
2006-09-18,305.944763
2006-09-19,303.673065
2006-09-20,302.552826
2006-09-21,304.094360
2006-09-22,304.996002
2006-09-23,299.543945
2006-09-24,297.209167
2006-09-25,295.402527
2006-09-26,293.269043
2006-09-27,293.413086
2006-09-28,298.527527
2006-09-29,298.379700
2006-09-30,299.532623
2006-10-01,300.425781
2006-10-02,300.209747
2006-10-03,300.071472
2006-10-04,297.841797
2006-10-05,300.134796
2006-10-06,296.912964
2006-10-07,301.221313
2006-10-08,302.986542
2006-10-09,302.749176
2006-10-10,296.191589
2006-10-11,299.218262
2006-10-12,301.099701
2006-10-13,300.027832
2006-10-14,301.765808
2006-10-15,298.230377
2006-10-16,289.528870
2006-10-17,282.135925
2006-10-18,289.447601
2006-10-19,294.242096
2006-10-20,294.694916
2006-10-21,292.228485
2006-10-22,287.822205
2006-10-23,291.679749
2006-10-24,293.351562
2006-10-25,298.089111
2006-10-26,299.786713
2006-10-27,290.841278
2006-10-28,294.264099
2006-10-29,296.363220
2006-10-30,298.011414
2006-10-31,295.081482
2006-11-01,288.626862
2006-11-02,288.813110
2006-11-03,290.939270
2006-11-04,287.295410
2006-11-05,293.546417
2006-11-06,293.955902
2006-11-07,294.229584
2006-11-08,295.432434
2006-11-09,293.286591
2006-11-10,294.946381
2006-11-11,293.483643
2006-11-12,294.824829
2006-11-13,297.845337
2006-11-14,295.793579
2006-11-15,292.348389
2006-11-16,292.080750
2006-11-17,292.740662
2006-11-18,291.053009
2006-11-19,292.123840
2006-11-20,295.527283
2006-11-21,291.670197
2006-11-22,295.493744
2006-11-23,292.782196
2006-11-24,282.027893
2006-11-25,286.918640
2006-11-26,287.206116
2006-11-27,292.604340
2006-11-28,293.162567
2006-11-29,284.486237
2006-11-30,289.517731
2006-12-01,282.459656
2006-12-02,273.278656
2006-12-03,280.371918
2006-12-04,286.304932
2006-12-05,284.907166
2006-12-06,279.312317
2006-12-07,289.673370
2006-12-08,287.565552
2006-12-09,283.879486
2006-12-10,281.742126
2006-12-11,282.125031
2006-12-12,288.541779
2006-12-13,286.844513
2006-12-14,285.846405
2006-12-15,284.871765
2006-12-16,284.683411
2006-12-17,279.636841
2006-12-18,277.978119
2006-12-19,277.635620
2006-12-20,281.714386
2006-12-21,284.154114
2006-12-22,288.618103
2006-12-23,286.208252
2006-12-24,283.470673
2006-12-25,284.164001
