#Variables:
#tasmax(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3962 Latitude, -98.5226 Longitude (closest value to Latitude:35.3915, Longitude:-98.5138) "
#Original Data File(s):
#agg_macav2metdata_tasmax_GFDL-ESM2G_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmax(K)"
""
yyyy-mm-dd,tasmax(K)
2006-01-01,292.020599
2006-01-02,291.950409
2006-01-03,292.256195
2006-01-04,293.874451
2006-01-05,291.007263
2006-01-06,293.930176
2006-01-07,292.880005
2006-01-08,290.163788
2006-01-09,281.000336
2006-01-10,285.221466
2006-01-11,289.114868
2006-01-12,294.982361
2006-01-13,295.437897
2006-01-14,291.586121
2006-01-15,283.206604
2006-01-16,279.607666
2006-01-17,278.837433
2006-01-18,281.340851
2006-01-19,278.969940
2006-01-20,279.995300
2006-01-21,286.433044
2006-01-22,285.681549
2006-01-23,289.536987
2006-01-24,290.880951
2006-01-25,287.891479
2006-01-26,277.282379
2006-01-27,272.858643
2006-01-28,271.932068
2006-01-29,275.120789
2006-01-30,280.487305
2006-01-31,284.291138
2006-02-01,283.731049
2006-02-02,282.958435
2006-02-03,283.915466
2006-02-04,282.464722
2006-02-05,286.547913
2006-02-06,286.698273
2006-02-07,290.123718
2006-02-08,294.568665
2006-02-09,294.838593
2006-02-10,293.856415
2006-02-11,299.548798
2006-02-12,301.568268
2006-02-13,299.882599
2006-02-14,270.233887
2006-02-15,285.801941
2006-02-16,292.123932
2006-02-17,295.373016
2006-02-18,298.155792
2006-02-19,299.792755
2006-02-20,298.139343
2006-02-21,288.480591
2006-02-22,284.412506
2006-02-23,295.990875
2006-02-24,296.355438
2006-02-25,303.188110
2006-02-26,306.518280
2006-02-27,304.566864
2006-02-28,293.835266
2006-03-01,300.431824
2006-03-02,299.434540
2006-03-03,300.273315
2006-03-04,299.131653
2006-03-05,294.193665
2006-03-06,286.855316
2006-03-07,290.421173
2006-03-08,289.682892
2006-03-09,291.265381
2006-03-10,292.992889
2006-03-11,294.530884
2006-03-12,292.065552
2006-03-13,292.943176
2006-03-14,296.602936
2006-03-15,299.392761
2006-03-16,299.995300
2006-03-17,296.150513
2006-03-18,292.157288
2006-03-19,295.079987
2006-03-20,293.834747
2006-03-21,294.471863
2006-03-22,295.758240
2006-03-23,301.471863
2006-03-24,300.022064
2006-03-25,292.737122
2006-03-26,302.729309
2006-03-27,302.119537
2006-03-28,286.807098
2006-03-29,286.318878
2006-03-30,292.204010
2006-03-31,299.414825
2006-04-01,303.566437
2006-04-02,304.881378
2006-04-03,303.475067
2006-04-04,297.059418
2006-04-05,299.796753
2006-04-06,302.791077
2006-04-07,301.990601
2006-04-08,299.735168
2006-04-09,296.941071
2006-04-10,303.157654
2006-04-11,305.529053
2006-04-12,305.636505
2006-04-13,304.874237
2006-04-14,303.359924
2006-04-15,301.990326
2006-04-16,297.155457
2006-04-17,297.392914
2006-04-18,296.776642
2006-04-19,291.415894
2006-04-20,296.387543
2006-04-21,305.149719
2006-04-22,305.924255
2006-04-23,304.494812
2006-04-24,296.871246
2006-04-25,295.475189
2006-04-26,294.550507
2006-04-27,306.248474
2006-04-28,309.693634
2006-04-29,301.540344
2006-04-30,300.313507
2006-05-01,294.756897
2006-05-02,287.347961
2006-05-03,294.264252
2006-05-04,300.935181
2006-05-05,305.902283
2006-05-06,305.010223
2006-05-07,295.149261
2006-05-08,291.245331
2006-05-09,299.008545
2006-05-10,299.835693
2006-05-11,298.994476
2006-05-12,301.251862
2006-05-13,302.877655
2006-05-14,303.491333
2006-05-15,304.727631
2006-05-16,307.698273
2006-05-17,309.955994
2006-05-18,309.270752
2006-05-19,308.615753
2006-05-20,307.592133
2006-05-21,301.114258
2006-05-22,291.522583
2006-05-23,296.841003
2006-05-24,300.023590
2006-05-25,304.363861
2006-05-26,308.018738
2006-05-27,309.154053
2006-05-28,311.064545
2006-05-29,313.151276
2006-05-30,314.178314
2006-05-31,312.768707
2006-06-01,310.881866
2006-06-02,309.341339
2006-06-03,306.774902
2006-06-04,303.942322
2006-06-05,306.625427
2006-06-06,308.457367
2006-06-07,310.420502
2006-06-08,312.856232
2006-06-09,313.562775
2006-06-10,313.434692
2006-06-11,313.849182
2006-06-12,313.516266
2006-06-13,312.347046
2006-06-14,315.708679
2006-06-15,314.063324
2006-06-16,312.230347
2006-06-17,312.045807
2006-06-18,313.130371
2006-06-19,312.496826
2006-06-20,313.575806
2006-06-21,314.474976
2006-06-22,313.713165
2006-06-23,310.762726
2006-06-24,315.398438
2006-06-25,317.731537
2006-06-26,316.603424
2006-06-27,318.375122
2006-06-28,317.404968
2006-06-29,307.212097
2006-06-30,307.551849
2006-07-01,308.340851
2006-07-02,312.099365
2006-07-03,311.930420
2006-07-04,313.827515
2006-07-05,306.511627
2006-07-06,308.072266
2006-07-07,308.929596
2006-07-08,308.550293
2006-07-09,309.585510
2006-07-10,311.278625
2006-07-11,307.826416
2006-07-12,308.967712
2006-07-13,309.061523
2006-07-14,310.766296
2006-07-15,311.589630
2006-07-16,309.905090
2006-07-17,309.121002
2006-07-18,308.046661
2006-07-19,313.359894
2006-07-20,314.318665
2006-07-21,314.470001
2006-07-22,313.482208
2006-07-23,312.760040
2006-07-24,312.020294
2006-07-25,312.931488
2006-07-26,312.421356
2006-07-27,313.458862
2006-07-28,312.844788
2006-07-29,313.349579
2006-07-30,313.285004
2006-07-31,316.334808
2006-08-01,315.880524
2006-08-02,315.964172
2006-08-03,314.492432
2006-08-04,311.905548
2006-08-05,311.615570
2006-08-06,311.879822
2006-08-07,311.189697
2006-08-08,306.846375
2006-08-09,309.121124
2006-08-10,310.603760
2006-08-11,310.339294
2006-08-12,310.591370
2006-08-13,310.530334
2006-08-14,310.109680
2006-08-15,305.337952
2006-08-16,305.227295
2006-08-17,304.047211
2006-08-18,308.152832
2006-08-19,308.557953
2006-08-20,308.079071
2006-08-21,309.225983
2006-08-22,309.467804
2006-08-23,309.995758
2006-08-24,310.825531
2006-08-25,309.923645
2006-08-26,306.187714
2006-08-27,309.182434
2006-08-28,310.492554
2006-08-29,310.179504
2006-08-30,308.392059
2006-08-31,300.665283
2006-09-01,302.850494
2006-09-02,302.874084
2006-09-03,310.559845
2006-09-04,309.622284
2006-09-05,306.069214
2006-09-06,308.307465
2006-09-07,307.844696
2006-09-08,304.946869
2006-09-09,305.042328
2006-09-10,299.826935
2006-09-11,298.467010
2006-09-12,300.781097
2006-09-13,300.130707
2006-09-14,301.264069
2006-09-15,300.066803
2006-09-16,290.295593
2006-09-17,296.491302
2006-09-18,295.958588
2006-09-19,295.493561
2006-09-20,299.999634
2006-09-21,302.149323
2006-09-22,300.192322
2006-09-23,296.507202
2006-09-24,297.594208
2006-09-25,300.781281
2006-09-26,304.981567
2006-09-27,306.067505
2006-09-28,306.541931
2006-09-29,305.923462
2006-09-30,307.604309
2006-10-01,306.464722
2006-10-02,302.382111
2006-10-03,306.761505
2006-10-04,306.039459
2006-10-05,305.885803
2006-10-06,307.004181
2006-10-07,305.954193
2006-10-08,299.755310
2006-10-09,302.866974
2006-10-10,304.586700
2006-10-11,306.474915
2006-10-12,306.648865
2006-10-13,302.518646
2006-10-14,303.293762
2006-10-15,302.408691
2006-10-16,298.176758
2006-10-17,295.538269
2006-10-18,297.363861
2006-10-19,299.742645
2006-10-20,300.401917
2006-10-21,300.954407
2006-10-22,302.151489
2006-10-23,301.367950
2006-10-24,301.163391
2006-10-25,297.833710
2006-10-26,290.145447
2006-10-27,292.528534
2006-10-28,292.534943
2006-10-29,294.342377
2006-10-30,291.045532
2006-10-31,282.859283
2006-11-01,285.815735
2006-11-02,290.968231
2006-11-03,295.736786
2006-11-04,294.165680
2006-11-05,293.790741
2006-11-06,298.954803
2006-11-07,302.429840
2006-11-08,301.316101
2006-11-09,299.478668
2006-11-10,298.155579
2006-11-11,297.571838
2006-11-12,284.542786
2006-11-13,293.281555
2006-11-14,286.188324
2006-11-15,285.516418
2006-11-16,290.362152
2006-11-17,289.149414
2006-11-18,287.115570
2006-11-19,281.052795
2006-11-20,285.621735
2006-11-21,294.452576
2006-11-22,296.610504
2006-11-23,295.621246
2006-11-24,293.990295
2006-11-25,289.689301
2006-11-26,282.485962
2006-11-27,282.235321
2006-11-28,280.507294
2006-11-29,284.126801
2006-11-30,285.662994
2006-12-01,284.444550
2006-12-02,283.831207
2006-12-03,280.772034
2006-12-04,287.334290
2006-12-05,282.014496
2006-12-06,280.996429
2006-12-07,278.629730
2006-12-08,282.941772
2006-12-09,280.865173
2006-12-10,282.769806
2006-12-11,285.057953
2006-12-12,283.744080
2006-12-13,286.989258
2006-12-14,284.627441
2006-12-15,288.702362
2006-12-16,285.809448
2006-12-17,274.968231
2006-12-18,269.798553
2006-12-19,276.745087
2006-12-20,277.385498
2006-12-21,280.960999
2006-12-22,283.132050
2006-12-23,287.998901
2006-12-24,286.088287
