#Variables:
#tasmax(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3962 Latitude, -98.5226 Longitude (closest value to Latitude:35.3915, Longitude:-98.5138) "
#Original Data File(s):
#agg_macav2metdata_tasmax_GFDL-ESM2M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmax(K)"
""
yyyy-mm-dd,tasmax(K)
2006-01-01,273.973267
2006-01-02,272.345276
2006-01-03,272.947296
2006-01-04,273.728760
2006-01-05,271.196991
2006-01-06,269.605988
2006-01-07,268.999237
2006-01-08,273.876221
2006-01-09,277.651520
2006-01-10,277.254425
2006-01-11,278.394409
2006-01-12,280.087128
2006-01-13,282.342102
2006-01-14,279.729340
2006-01-15,278.697845
2006-01-16,283.042328
2006-01-17,292.605927
2006-01-18,293.877319
2006-01-19,291.859833
2006-01-20,286.064148
2006-01-21,281.841339
2006-01-22,275.572723
2006-01-23,283.410461
2006-01-24,285.690247
2006-01-25,283.890717
2006-01-26,283.409546
2006-01-27,275.846100
2006-01-28,273.884735
2006-01-29,275.816528
2006-01-30,283.416840
2006-01-31,291.557648
2006-02-01,286.931824
2006-02-02,271.704834
2006-02-03,273.878876
2006-02-04,279.376373
2006-02-05,284.874084
2006-02-06,290.987274
2006-02-07,293.225311
2006-02-08,292.118195
2006-02-09,288.093964
2006-02-10,285.635101
2006-02-11,286.058533
2006-02-12,289.432709
2006-02-13,289.291687
2006-02-14,290.778534
2006-02-15,288.752045
2006-02-16,286.497375
2006-02-17,283.842499
2006-02-18,283.820343
2006-02-19,290.173828
2006-02-20,289.490204
2006-02-21,287.897705
2006-02-22,293.503143
2006-02-23,296.856476
2006-02-24,295.466827
2006-02-25,293.862854
2006-02-26,290.455750
2006-02-27,288.736053
2006-02-28,287.144592
2006-03-01,287.750885
2006-03-02,292.156189
2006-03-03,291.635651
2006-03-04,291.561829
2006-03-05,290.457733
2006-03-06,287.629089
2006-03-07,296.599976
2006-03-08,296.456482
2006-03-09,298.734436
2006-03-10,297.112976
2006-03-11,297.539429
2006-03-12,294.778076
2006-03-13,290.648132
2006-03-14,286.171539
2006-03-15,289.326477
2006-03-16,290.769318
2006-03-17,295.023865
2006-03-18,295.554047
2006-03-19,293.181122
2006-03-20,287.587708
2006-03-21,288.673187
2006-03-22,287.981689
2006-03-23,285.575562
2006-03-24,277.109924
2006-03-25,282.562836
2006-03-26,284.934540
2006-03-27,289.857880
2006-03-28,288.224976
2006-03-29,281.662598
2006-03-30,291.276398
2006-03-31,296.598053
2006-04-01,303.123413
2006-04-02,302.557068
2006-04-03,296.355865
2006-04-04,296.791901
2006-04-05,300.284149
2006-04-06,299.302612
2006-04-07,297.143616
2006-04-08,289.850586
2006-04-09,288.679443
2006-04-10,293.419067
2006-04-11,295.139618
2006-04-12,296.294434
2006-04-13,295.851746
2006-04-14,293.016113
2006-04-15,293.358490
2006-04-16,296.916870
2006-04-17,297.713135
2006-04-18,299.467957
2006-04-19,300.455017
2006-04-20,299.667389
2006-04-21,300.701782
2006-04-22,299.302612
2006-04-23,297.801605
2006-04-24,297.041290
2006-04-25,298.418671
2006-04-26,301.822998
2006-04-27,299.824951
2006-04-28,303.217285
2006-04-29,304.135468
2006-04-30,302.963379
2006-05-01,299.260010
2006-05-02,286.290375
2006-05-03,288.188507
2006-05-04,291.532013
2006-05-05,295.804810
2006-05-06,303.491455
2006-05-07,306.360016
2006-05-08,305.592773
2006-05-09,302.989594
2006-05-10,302.494690
2006-05-11,305.742249
2006-05-12,304.332703
2006-05-13,299.434875
2006-05-14,298.597382
2006-05-15,297.052704
2006-05-16,298.269196
2006-05-17,299.761993
2006-05-18,301.317078
2006-05-19,299.964722
2006-05-20,296.010590
2006-05-21,297.409576
2006-05-22,296.987640
2006-05-23,292.753784
2006-05-24,294.661865
2006-05-25,294.834381
2006-05-26,297.371307
2006-05-27,297.576935
2006-05-28,298.228149
2006-05-29,299.538757
2006-05-30,299.506744
2006-05-31,298.186890
2006-06-01,299.332031
2006-06-02,301.088257
2006-06-03,303.688385
2006-06-04,306.128815
2006-06-05,306.871033
2006-06-06,308.443207
2006-06-07,307.092834
2006-06-08,306.583923
2006-06-09,304.734924
2006-06-10,303.548340
2006-06-11,296.817780
2006-06-12,296.864258
2006-06-13,297.024780
2006-06-14,298.359680
2006-06-15,298.120300
2006-06-16,302.217255
2006-06-17,304.237427
2006-06-18,303.736115
2006-06-19,302.724304
2006-06-20,302.894470
2006-06-21,304.701569
2006-06-22,306.314575
2006-06-23,306.847351
2006-06-24,303.888245
2006-06-25,296.534149
2006-06-26,299.232483
2006-06-27,305.218811
2006-06-28,304.300049
2006-06-29,305.051758
2006-06-30,306.508057
2006-07-01,306.101776
2006-07-02,304.253998
2006-07-03,306.332184
2006-07-04,305.603851
2006-07-05,307.411957
2006-07-06,306.687103
2006-07-07,304.744202
2006-07-08,301.602753
2006-07-09,302.477875
2006-07-10,303.696228
2006-07-11,303.370636
2006-07-12,305.486145
2006-07-13,305.138672
2006-07-14,300.675903
2006-07-15,301.888733
2006-07-16,302.054382
2006-07-17,305.209015
2006-07-18,306.683228
2006-07-19,308.547516
2006-07-20,306.438690
2006-07-21,307.298157
2006-07-22,304.240204
2006-07-23,304.586731
2006-07-24,305.557434
2006-07-25,306.068207
2006-07-26,304.961060
2006-07-27,306.396973
2006-07-28,308.047058
2006-07-29,307.102844
2006-07-30,305.940460
2006-07-31,305.260803
2006-08-01,305.109131
2006-08-02,305.197540
2006-08-03,304.465546
2006-08-04,304.454407
2006-08-05,305.235107
2006-08-06,305.640717
2006-08-07,306.184357
2006-08-08,306.282074
2006-08-09,306.164246
2006-08-10,306.609192
2006-08-11,306.952271
2006-08-12,307.535126
2006-08-13,307.366394
2006-08-14,308.964966
2006-08-15,307.965790
2006-08-16,309.197266
2006-08-17,310.045227
2006-08-18,308.628571
2006-08-19,307.701202
2006-08-20,309.401123
2006-08-21,306.833588
2006-08-22,303.358948
2006-08-23,306.106232
2006-08-24,306.614929
2006-08-25,306.337036
2006-08-26,306.944489
2006-08-27,307.175446
2006-08-28,308.113556
2006-08-29,308.658203
2006-08-30,309.228180
2006-08-31,307.051605
2006-09-01,293.442841
2006-09-02,297.993347
2006-09-03,305.936340
2006-09-04,304.490204
2006-09-05,300.059174
2006-09-06,296.320435
2006-09-07,305.674927
2006-09-08,304.425568
2006-09-09,304.125946
2006-09-10,302.451233
2006-09-11,301.521515
2006-09-12,300.101929
2006-09-13,305.264526
2006-09-14,304.069550
2006-09-15,304.277740
2006-09-16,300.921722
2006-09-17,302.924133
2006-09-18,304.375946
2006-09-19,306.889954
2006-09-20,299.517700
2006-09-21,287.320435
2006-09-22,289.635498
2006-09-23,293.830078
2006-09-24,297.085388
2006-09-25,297.521698
2006-09-26,301.474365
2006-09-27,299.164276
2006-09-28,298.857147
2006-09-29,301.561035
2006-09-30,302.750702
2006-10-01,303.334778
2006-10-02,303.556641
2006-10-03,297.777954
2006-10-04,289.917542
2006-10-05,291.039185
2006-10-06,294.233490
2006-10-07,296.151947
2006-10-08,299.021179
2006-10-09,293.949646
2006-10-10,284.995178
2006-10-11,290.495880
2006-10-12,292.221497
2006-10-13,290.463287
2006-10-14,288.440552
2006-10-15,294.254028
2006-10-16,292.584869
2006-10-17,289.167267
2006-10-18,296.410797
2006-10-19,299.243378
2006-10-20,297.656555
2006-10-21,298.915100
2006-10-22,298.490417
2006-10-23,296.014862
2006-10-24,290.292664
2006-10-25,290.877258
2006-10-26,291.844849
2006-10-27,294.250702
2006-10-28,292.268646
2006-10-29,288.600342
2006-10-30,291.500671
2006-10-31,288.555298
2006-11-01,282.989594
2006-11-02,281.996277
2006-11-03,283.829437
2006-11-04,286.891663
2006-11-05,288.394501
2006-11-06,290.181458
2006-11-07,293.636536
2006-11-08,294.993317
2006-11-09,292.609070
2006-11-10,290.871674
2006-11-11,299.177399
2006-11-12,293.455811
2006-11-13,284.403076
2006-11-14,286.716431
2006-11-15,292.622253
2006-11-16,290.667755
2006-11-17,290.502930
2006-11-18,286.673096
2006-11-19,282.568665
2006-11-20,279.955353
2006-11-21,279.196777
2006-11-22,279.162354
2006-11-23,278.258759
2006-11-24,278.258820
2006-11-25,281.697113
2006-11-26,288.286926
2006-11-27,287.663544
2006-11-28,291.788147
2006-11-29,288.108215
2006-11-30,289.047150
2006-12-01,285.267944
2006-12-02,289.085114
2006-12-03,292.063629
2006-12-04,291.486267
2006-12-05,292.179382
2006-12-06,289.584229
2006-12-07,285.573364
2006-12-08,285.349731
2006-12-09,288.880219
2006-12-10,274.554382
2006-12-11,272.155762
2006-12-12,275.554810
2006-12-13,275.360199
2006-12-14,281.298798
2006-12-15,288.075592
2006-12-16,292.858002
2006-12-17,292.853485
2006-12-18,292.857086
2006-12-19,289.125916
2006-12-20,288.542267
2006-12-21,287.144440
2006-12-22,285.066284
2006-12-23,277.243866
2006-12-24,279.497528
