#Variables:
#tasmax(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3962 Latitude, -98.5226 Longitude (closest value to Latitude:35.3915, Longitude:-98.5138) "
#Original Data File(s):
#agg_macav2metdata_tasmax_HadGEM2-CC365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmax(K)"
""
yyyy-mm-dd,tasmax(K)
2006-01-01,283.549316
2006-01-02,277.582245
2006-01-03,276.931580
2006-01-04,284.101257
2006-01-05,284.329834
2006-01-06,287.164825
2006-01-07,285.567993
2006-01-08,278.310883
2006-01-09,282.878418
2006-01-10,285.089447
2006-01-11,284.107971
2006-01-12,275.232635
2006-01-13,273.896606
2006-01-14,276.787201
2006-01-15,281.916016
2006-01-16,279.225647
2006-01-17,278.658386
2006-01-18,281.725525
2006-01-19,279.373291
2006-01-20,279.566132
2006-01-21,281.846283
2006-01-22,280.230133
2006-01-23,279.050720
2006-01-24,280.621582
2006-01-25,280.650330
2006-01-26,278.716003
2006-01-27,280.717194
2006-01-28,284.288666
2006-01-29,286.639526
2006-01-30,284.868134
2006-01-31,284.129608
2006-02-01,284.577240
2006-02-02,283.661102
2006-02-03,286.600769
2006-02-04,287.730255
2006-02-05,283.479401
2006-02-06,282.762726
2006-02-07,282.275238
2006-02-08,281.553467
2006-02-09,282.930176
2006-02-10,281.617462
2006-02-11,284.139801
2006-02-12,286.258514
2006-02-13,285.460327
2006-02-14,289.995422
2006-02-15,295.204834
2006-02-16,297.927917
2006-02-17,297.051880
2006-02-18,299.808167
2006-02-19,292.776428
2006-02-20,283.970978
2006-02-21,280.908447
2006-02-22,284.642212
2006-02-23,284.496521
2006-02-24,284.336761
2006-02-25,287.914215
2006-02-26,291.638550
2006-02-27,290.764465
2006-02-28,294.971283
2006-03-01,290.790497
2006-03-02,285.246185
2006-03-03,285.731415
2006-03-04,288.451141
2006-03-05,288.741119
2006-03-06,288.141113
2006-03-07,289.397705
2006-03-08,288.563293
2006-03-09,288.772888
2006-03-10,290.812134
2006-03-11,290.254669
2006-03-12,290.135590
2006-03-13,291.345947
2006-03-14,291.776917
2006-03-15,294.387451
2006-03-16,296.236328
2006-03-17,289.337402
2006-03-18,297.087280
2006-03-19,294.804993
2006-03-20,292.348602
2006-03-21,292.055786
2006-03-22,297.223938
2006-03-23,299.513306
2006-03-24,298.392242
2006-03-25,290.572937
2006-03-26,287.058929
2006-03-27,288.870270
2006-03-28,291.515686
2006-03-29,290.316223
2006-03-30,287.928589
2006-03-31,286.830627
2006-04-01,289.996887
2006-04-02,292.282471
2006-04-03,296.718323
2006-04-04,300.816040
2006-04-05,299.447083
2006-04-06,294.617889
2006-04-07,292.548920
2006-04-08,297.545746
2006-04-09,298.263855
2006-04-10,298.535614
2006-04-11,301.829651
2006-04-12,303.305817
2006-04-13,300.578064
2006-04-14,298.848450
2006-04-15,301.411224
2006-04-16,302.782562
2006-04-17,302.171326
2006-04-18,299.557312
2006-04-19,297.732147
2006-04-20,299.440491
2006-04-21,300.792053
2006-04-22,302.089203
2006-04-23,304.239380
2006-04-24,304.221039
2006-04-25,300.543976
2006-04-26,298.358551
2006-04-27,303.757263
2006-04-28,306.784363
2006-04-29,307.615265
2006-04-30,308.504303
2006-05-01,301.886993
2006-05-02,295.407074
2006-05-03,297.012451
2006-05-04,301.611359
2006-05-05,303.222321
2006-05-06,304.069183
2006-05-07,301.188080
2006-05-08,300.985321
2006-05-09,294.677277
2006-05-10,287.528107
2006-05-11,290.858368
2006-05-12,288.816559
2006-05-13,284.624146
2006-05-14,292.239258
2006-05-15,297.436218
2006-05-16,296.589752
2006-05-17,297.916687
2006-05-18,297.922638
2006-05-19,298.965851
2006-05-20,301.651459
2006-05-21,302.280243
2006-05-22,302.061249
2006-05-23,298.433105
2006-05-24,303.879486
2006-05-25,306.169006
2006-05-26,308.390625
2006-05-27,306.782227
2006-05-28,305.424652
2006-05-29,305.597900
2006-05-30,306.737915
2006-05-31,305.360168
2006-06-01,307.520386
2006-06-02,307.142029
2006-06-03,309.500977
2006-06-04,308.541565
2006-06-05,303.213440
2006-06-06,300.020691
2006-06-07,296.633423
2006-06-08,301.965973
2006-06-09,304.426788
2006-06-10,307.716370
2006-06-11,307.016479
2006-06-12,301.727234
2006-06-13,304.228668
2006-06-14,306.511047
2006-06-15,307.856506
2006-06-16,307.898041
2006-06-17,307.708435
2006-06-18,307.151459
2006-06-19,306.577850
2006-06-20,307.539551
2006-06-21,308.427551
2006-06-22,308.367676
2006-06-23,308.399506
2006-06-24,309.185059
2006-06-25,309.312592
2006-06-26,310.053802
2006-06-27,310.662140
2006-06-28,310.993134
2006-06-29,310.708496
2006-06-30,308.934570
2006-07-01,308.072235
2006-07-02,308.642914
2006-07-03,309.734314
2006-07-04,309.881836
2006-07-05,309.769470
2006-07-06,309.526550
2006-07-07,309.961365
2006-07-08,310.818909
2006-07-09,309.963043
2006-07-10,309.221375
2006-07-11,310.324646
2006-07-12,311.401733
2006-07-13,310.729919
2006-07-14,309.256439
2006-07-15,308.042419
2006-07-16,310.056213
2006-07-17,307.529938
2006-07-18,307.161682
2006-07-19,308.810883
2006-07-20,309.678650
2006-07-21,307.887970
2006-07-22,306.803619
2006-07-23,306.898102
2006-07-24,307.491760
2006-07-25,307.762817
2006-07-26,307.418976
2006-07-27,306.981689
2006-07-28,307.536499
2006-07-29,309.182465
2006-07-30,309.104156
2006-07-31,309.737091
2006-08-01,309.953369
2006-08-02,312.252716
2006-08-03,312.732849
2006-08-04,313.663269
2006-08-05,313.887512
2006-08-06,313.690277
2006-08-07,314.237854
2006-08-08,313.526611
2006-08-09,313.632355
2006-08-10,313.361633
2006-08-11,311.666138
2006-08-12,308.659668
2006-08-13,310.789612
2006-08-14,311.164337
2006-08-15,310.610229
2006-08-16,311.013000
2006-08-17,311.171356
2006-08-18,311.834442
2006-08-19,310.907257
2006-08-20,302.045471
2006-08-21,300.737152
2006-08-22,301.879761
2006-08-23,291.433960
2006-08-24,295.778503
2006-08-25,300.288361
2006-08-26,300.706726
2006-08-27,301.031525
2006-08-28,303.830139
2006-08-29,305.957733
2006-08-30,305.425354
2006-08-31,306.318176
2006-09-01,307.036957
2006-09-02,307.539398
2006-09-03,306.993622
2006-09-04,306.357422
2006-09-05,305.256470
2006-09-06,303.926697
2006-09-07,302.564667
2006-09-08,301.729523
2006-09-09,300.270081
2006-09-10,302.187134
2006-09-11,304.448090
2006-09-12,302.954010
2006-09-13,298.958252
2006-09-14,298.388794
2006-09-15,300.327789
2006-09-16,302.744720
2006-09-17,301.973114
2006-09-18,300.311493
2006-09-19,299.353424
2006-09-20,301.836731
2006-09-21,300.772461
2006-09-22,295.053589
2006-09-23,294.719360
2006-09-24,295.191071
2006-09-25,295.945526
2006-09-26,296.757263
2006-09-27,296.524872
2006-09-28,299.735016
2006-09-29,300.731750
2006-09-30,301.425812
2006-10-01,300.948029
2006-10-02,303.131317
2006-10-03,302.943970
2006-10-04,301.161530
2006-10-05,298.816193
2006-10-06,299.461914
2006-10-07,299.870270
2006-10-08,297.822601
2006-10-09,300.248505
2006-10-10,300.097656
2006-10-11,299.332886
2006-10-12,296.636322
2006-10-13,296.270325
2006-10-14,298.223297
2006-10-15,294.798401
2006-10-16,291.683899
2006-10-17,294.220459
2006-10-18,295.509430
2006-10-19,294.232086
2006-10-20,293.483582
2006-10-21,292.442780
2006-10-22,292.461365
2006-10-23,294.035675
2006-10-24,293.048920
2006-10-25,292.883606
2006-10-26,293.123047
2006-10-27,294.623108
2006-10-28,298.319092
2006-10-29,298.431488
2006-10-30,298.570526
2006-10-31,299.149048
2006-11-01,300.647278
2006-11-02,295.823242
2006-11-03,289.914459
2006-11-04,295.336578
2006-11-05,291.598694
2006-11-06,289.614166
2006-11-07,294.303375
2006-11-08,295.831696
2006-11-09,293.816833
2006-11-10,296.311371
2006-11-11,297.126373
2006-11-12,294.979248
2006-11-13,296.703461
2006-11-14,292.739838
2006-11-15,284.454315
2006-11-16,283.309082
2006-11-17,286.076233
2006-11-18,286.377441
2006-11-19,286.806488
2006-11-20,289.535126
2006-11-21,292.287415
2006-11-22,293.381653
2006-11-23,295.292389
2006-11-24,295.280334
2006-11-25,291.687958
2006-11-26,285.299805
2006-11-27,286.675995
2006-11-28,292.874725
2006-11-29,295.409454
2006-11-30,296.100983
2006-12-01,297.113342
2006-12-02,295.463531
2006-12-03,292.859192
2006-12-04,291.262634
2006-12-05,291.706573
2006-12-06,291.675018
2006-12-07,292.108917
2006-12-08,293.004272
2006-12-09,292.831451
2006-12-10,286.509186
2006-12-11,279.786560
2006-12-12,281.704041
2006-12-13,283.802734
2006-12-14,281.501160
2006-12-15,279.406097
2006-12-16,278.965576
2006-12-17,281.488434
2006-12-18,284.300690
2006-12-19,279.654694
2006-12-20,277.964783
2006-12-21,283.832977
2006-12-22,289.590179
2006-12-23,291.889893
2006-12-24,283.078461
