#Variables:
#tasmax(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3962 Latitude, -98.5226 Longitude (closest value to Latitude:35.3915, Longitude:-98.5138) "
#Original Data File(s):
#agg_macav2metdata_tasmax_MRI-CGCM3_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmax(K)"
""
yyyy-mm-dd,tasmax(K)
2006-01-01,284.773438
2006-01-02,288.202545
2006-01-03,287.958527
2006-01-04,286.921906
2006-01-05,284.547211
2006-01-06,284.520142
2006-01-07,284.873413
2006-01-08,272.407318
2006-01-09,280.240173
2006-01-10,280.183990
2006-01-11,288.398163
2006-01-12,290.512573
2006-01-13,293.139618
2006-01-14,295.965057
2006-01-15,295.992432
2006-01-16,295.806244
2006-01-17,291.609344
2006-01-18,288.982819
2006-01-19,290.114899
2006-01-20,285.819336
2006-01-21,289.731842
2006-01-22,288.174957
2006-01-23,283.380920
2006-01-24,289.599487
2006-01-25,294.104797
2006-01-26,294.310120
2006-01-27,296.400635
2006-01-28,294.544250
2006-01-29,290.375153
2006-01-30,291.626221
2006-01-31,295.480804
2006-02-01,299.770569
2006-02-02,297.172913
2006-02-03,286.928284
2006-02-04,284.612335
2006-02-05,286.374542
2006-02-06,284.019592
2006-02-07,282.675201
2006-02-08,284.476807
2006-02-09,294.407990
2006-02-10,291.154480
2006-02-11,266.511871
2006-02-12,271.502594
2006-02-13,278.634979
2006-02-14,274.683990
2006-02-15,267.776886
2006-02-16,277.101196
2006-02-17,267.499695
2006-02-18,267.775879
2006-02-19,280.039948
2006-02-20,285.120605
2006-02-21,289.085999
2006-02-22,289.523712
2006-02-23,291.708832
2006-02-24,290.536469
2006-02-25,290.572357
2006-02-26,292.679443
2006-02-27,297.673126
2006-02-28,293.692413
2006-03-01,288.423248
2006-03-02,292.338867
2006-03-03,290.059601
2006-03-04,290.063782
2006-03-05,284.578064
2006-03-06,285.036255
2006-03-07,291.131561
2006-03-08,295.915100
2006-03-09,293.134216
2006-03-10,290.184143
2006-03-11,279.085968
2006-03-12,285.452484
2006-03-13,287.109161
2006-03-14,290.548126
2006-03-15,299.422363
2006-03-16,297.103180
2006-03-17,291.048828
2006-03-18,284.809601
2006-03-19,296.114899
2006-03-20,298.718445
2006-03-21,301.778473
2006-03-22,301.287720
2006-03-23,303.957092
2006-03-24,303.823517
2006-03-25,301.734528
2006-03-26,294.725159
2006-03-27,286.469482
2006-03-28,293.209290
2006-03-29,290.174469
2006-03-30,292.446564
2006-03-31,299.348328
2006-04-01,301.024933
2006-04-02,302.021454
2006-04-03,302.752625
2006-04-04,300.826416
2006-04-05,302.391968
2006-04-06,304.923950
2006-04-07,303.306244
2006-04-08,300.863068
2006-04-09,299.062469
2006-04-10,299.059937
2006-04-11,305.718536
2006-04-12,306.596710
2006-04-13,306.864227
2006-04-14,310.434052
2006-04-15,305.879639
2006-04-16,297.535431
2006-04-17,294.606842
2006-04-18,304.601044
2006-04-19,300.417877
2006-04-20,288.603760
2006-04-21,290.036957
2006-04-22,298.363220
2006-04-23,296.362396
2006-04-24,294.489746
2006-04-25,286.838501
2006-04-26,288.318726
2006-04-27,288.345917
2006-04-28,278.872650
2006-04-29,286.392883
2006-04-30,298.275909
2006-05-01,302.546875
2006-05-02,303.413696
2006-05-03,304.445068
2006-05-04,302.134888
2006-05-05,296.434906
2006-05-06,288.287079
2006-05-07,296.819763
2006-05-08,302.655060
2006-05-09,302.412659
2006-05-10,301.276886
2006-05-11,299.005920
2006-05-12,296.700531
2006-05-13,297.347198
2006-05-14,297.309113
2006-05-15,295.650452
2006-05-16,298.175140
2006-05-17,303.527496
2006-05-18,308.936707
2006-05-19,311.207397
2006-05-20,307.186310
2006-05-21,301.210693
2006-05-22,298.214020
2006-05-23,294.652283
2006-05-24,299.185333
2006-05-25,296.283691
2006-05-26,301.948395
2006-05-27,305.492310
2006-05-28,310.816071
2006-05-29,312.254547
2006-05-30,311.823364
2006-05-31,311.334381
2006-06-01,303.697418
2006-06-02,305.466370
2006-06-03,302.629791
2006-06-04,305.446106
2006-06-05,306.266846
2006-06-06,306.096436
2006-06-07,307.830994
2006-06-08,306.464691
2006-06-09,305.392639
2006-06-10,307.008453
2006-06-11,307.807373
2006-06-12,303.359283
2006-06-13,295.854950
2006-06-14,299.712708
2006-06-15,306.614227
2006-06-16,307.900452
2006-06-17,309.692169
2006-06-18,310.536499
2006-06-19,310.447144
2006-06-20,307.464966
2006-06-21,305.929138
2006-06-22,303.197937
2006-06-23,305.004730
2006-06-24,305.260406
2006-06-25,303.889496
2006-06-26,311.547791
2006-06-27,308.127319
2006-06-28,309.169678
2006-06-29,308.733185
2006-06-30,308.226471
2006-07-01,306.494415
2006-07-02,304.510468
2006-07-03,298.387665
2006-07-04,301.157288
2006-07-05,306.081818
2006-07-06,308.005798
2006-07-07,310.230103
2006-07-08,311.557495
2006-07-09,311.405914
2006-07-10,311.367584
2006-07-11,309.731079
2006-07-12,310.056213
2006-07-13,311.485382
2006-07-14,313.123016
2006-07-15,313.104126
2006-07-16,311.174744
2006-07-17,308.795227
2006-07-18,305.635284
2006-07-19,302.700226
2006-07-20,304.388214
2006-07-21,305.443481
2006-07-22,306.311340
2006-07-23,308.149567
2006-07-24,308.363037
2006-07-25,306.621582
2006-07-26,302.180237
2006-07-27,305.442505
2006-07-28,307.637085
2006-07-29,310.157104
2006-07-30,313.043518
2006-07-31,313.466125
2006-08-01,310.251556
2006-08-02,304.170959
2006-08-03,310.405334
2006-08-04,313.564056
2006-08-05,311.712250
2006-08-06,311.341309
2006-08-07,312.697449
2006-08-08,312.833313
2006-08-09,313.869934
2006-08-10,313.389984
2006-08-11,308.350983
2006-08-12,305.854828
2006-08-13,303.442291
2006-08-14,296.986450
2006-08-15,297.855408
2006-08-16,302.666779
2006-08-17,304.091492
2006-08-18,307.167328
2006-08-19,307.961090
2006-08-20,303.203522
2006-08-21,303.058960
2006-08-22,306.188934
2006-08-23,305.459076
2006-08-24,305.037781
2006-08-25,300.882660
2006-08-26,299.819427
2006-08-27,299.364777
2006-08-28,298.994110
2006-08-29,302.973389
2006-08-30,306.683502
2006-08-31,305.824951
2006-09-01,304.101532
2006-09-02,298.713318
2006-09-03,299.677124
2006-09-04,304.988007
2006-09-05,304.979034
2006-09-06,308.024780
2006-09-07,305.098053
2006-09-08,306.925293
2006-09-09,307.858978
2006-09-10,306.087738
2006-09-11,308.774567
2006-09-12,307.703644
2006-09-13,304.634003
2006-09-14,302.123535
2006-09-15,305.032349
2006-09-16,306.162079
2006-09-17,303.430298
2006-09-18,302.813995
2006-09-19,301.075562
2006-09-20,288.833496
2006-09-21,291.470001
2006-09-22,289.953796
2006-09-23,289.998383
2006-09-24,296.514954
2006-09-25,295.458099
2006-09-26,292.224213
2006-09-27,298.441376
2006-09-28,299.077148
2006-09-29,300.582306
2006-09-30,299.339874
2006-10-01,300.119843
2006-10-02,300.330048
2006-10-03,298.073822
2006-10-04,301.153809
2006-10-05,300.669403
2006-10-06,296.410217
2006-10-07,295.403900
2006-10-08,299.990295
2006-10-09,300.833771
2006-10-10,305.636932
2006-10-11,304.638245
2006-10-12,307.026611
2006-10-13,305.166382
2006-10-14,298.226318
2006-10-15,297.872528
2006-10-16,289.450165
2006-10-17,294.354431
2006-10-18,300.035828
2006-10-19,296.446564
2006-10-20,290.854065
2006-10-21,287.413605
2006-10-22,288.612549
2006-10-23,295.300201
2006-10-24,294.058105
2006-10-25,296.734894
2006-10-26,295.299164
2006-10-27,294.328247
2006-10-28,291.846741
2006-10-29,290.811523
2006-10-30,297.106903
2006-10-31,292.456360
2006-11-01,293.971924
2006-11-02,298.981689
2006-11-03,299.186981
2006-11-04,297.893616
2006-11-05,294.856720
2006-11-06,295.295837
2006-11-07,294.959137
2006-11-08,298.923706
2006-11-09,299.154999
2006-11-10,292.658844
2006-11-11,283.352631
2006-11-12,285.984161
2006-11-13,288.762329
2006-11-14,290.545654
2006-11-15,292.305847
2006-11-16,296.820129
2006-11-17,299.719269
2006-11-18,297.366760
2006-11-19,299.310242
2006-11-20,299.947845
2006-11-21,298.952057
2006-11-22,297.069763
2006-11-23,295.449860
2006-11-24,293.092224
2006-11-25,287.490662
2006-11-26,287.670502
2006-11-27,295.988403
2006-11-28,294.266876
2006-11-29,287.239685
2006-11-30,285.336090
2006-12-01,280.703918
2006-12-02,278.272888
2006-12-03,279.338257
2006-12-04,280.306641
2006-12-05,279.006439
2006-12-06,282.319214
2006-12-07,286.199677
2006-12-08,289.083069
2006-12-09,293.333435
2006-12-10,290.657043
2006-12-11,285.182129
2006-12-12,277.496460
2006-12-13,283.661102
2006-12-14,290.155975
2006-12-15,288.537048
2006-12-16,286.410339
2006-12-17,283.141418
2006-12-18,283.239868
2006-12-19,280.511353
2006-12-20,281.842773
2006-12-21,277.278687
2006-12-22,278.174988
2006-12-23,277.416931
2006-12-24,281.549347
