#Variables:
#tasmax(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3962 Latitude, -98.5226 Longitude (closest value to Latitude:35.3915, Longitude:-98.5138) "
#Original Data File(s):
#agg_macav2metdata_tasmax_bcc-csm1-1-m_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmax(K)"
""
yyyy-mm-dd,tasmax(K)
2006-01-01,285.617828
2006-01-02,289.209534
2006-01-03,292.764740
2006-01-04,290.134979
2006-01-05,294.053131
2006-01-06,293.069275
2006-01-07,284.388275
2006-01-08,268.592712
2006-01-09,269.393066
2006-01-10,277.232880
2006-01-11,283.375244
2006-01-12,288.197998
2006-01-13,289.730042
2006-01-14,288.437927
2006-01-15,285.673523
2006-01-16,282.131012
2006-01-17,281.400421
2006-01-18,281.179688
2006-01-19,287.152924
2006-01-20,286.607361
2006-01-21,286.012177
2006-01-22,280.980011
2006-01-23,273.101074
2006-01-24,272.859070
2006-01-25,273.970123
2006-01-26,274.818298
2006-01-27,277.528839
2006-01-28,281.485107
2006-01-29,289.188965
2006-01-30,286.490417
2006-01-31,285.360413
2006-02-01,284.454712
2006-02-02,283.474182
2006-02-03,290.362122
2006-02-04,289.446747
2006-02-05,287.731079
2006-02-06,280.991241
2006-02-07,278.984894
2006-02-08,274.839203
2006-02-09,274.845367
2006-02-10,278.229919
2006-02-11,277.392395
2006-02-12,285.832245
2006-02-13,285.205048
2006-02-14,283.757172
2006-02-15,290.433441
2006-02-16,291.029907
2006-02-17,292.305756
2006-02-18,290.132080
2006-02-19,287.654205
2006-02-20,284.460999
2006-02-21,289.094452
2006-02-22,287.072510
2006-02-23,283.799561
2006-02-24,289.823212
2006-02-25,287.973938
2006-02-26,286.088684
2006-02-27,288.766174
2006-02-28,289.636658
2006-03-01,294.646545
2006-03-02,293.024536
2006-03-03,294.052643
2006-03-04,296.741150
2006-03-05,296.934021
2006-03-06,290.928711
2006-03-07,289.120361
2006-03-08,282.720123
2006-03-09,289.026520
2006-03-10,288.722626
2006-03-11,287.119476
2006-03-12,289.046967
2006-03-13,290.393738
2006-03-14,291.099670
2006-03-15,292.795074
2006-03-16,292.146240
2006-03-17,287.120636
2006-03-18,280.587402
2006-03-19,288.288361
2006-03-20,293.854858
2006-03-21,298.108429
2006-03-22,297.514008
2006-03-23,283.544373
2006-03-24,287.700439
2006-03-25,293.858154
2006-03-26,297.045776
2006-03-27,298.377777
2006-03-28,299.791870
2006-03-29,298.532562
2006-03-30,286.848083
2006-03-31,291.180237
2006-04-01,291.324646
2006-04-02,296.452667
2006-04-03,296.955750
2006-04-04,300.868134
2006-04-05,300.762817
2006-04-06,301.129303
2006-04-07,302.002136
2006-04-08,301.901337
2006-04-09,298.298737
2006-04-10,291.270020
2006-04-11,288.244141
2006-04-12,289.041595
2006-04-13,292.841034
2006-04-14,294.403137
2006-04-15,298.323792
2006-04-16,298.642242
2006-04-17,298.030182
2006-04-18,294.703339
2006-04-19,294.990479
2006-04-20,296.380615
2006-04-21,298.595093
2006-04-22,301.601379
2006-04-23,303.255676
2006-04-24,303.218811
2006-04-25,297.337982
2006-04-26,293.767944
2006-04-27,298.868927
2006-04-28,300.843781
2006-04-29,303.875488
2006-04-30,304.047638
2006-05-01,301.050690
2006-05-02,300.372437
2006-05-03,292.626343
2006-05-04,292.830444
2006-05-05,293.923492
2006-05-06,297.658295
2006-05-07,296.174927
2006-05-08,295.162933
2006-05-09,294.184021
2006-05-10,296.660126
2006-05-11,297.848724
2006-05-12,297.831848
2006-05-13,296.313416
2006-05-14,300.731049
2006-05-15,299.817749
2006-05-16,296.958893
2006-05-17,295.122681
2006-05-18,298.861755
2006-05-19,300.336273
2006-05-20,300.206055
2006-05-21,301.366028
2006-05-22,301.480133
2006-05-23,299.192474
2006-05-24,302.300385
2006-05-25,298.812012
2006-05-26,297.683838
2006-05-27,300.004242
2006-05-28,297.952911
2006-05-29,299.094635
2006-05-30,294.698853
2006-05-31,291.774292
2006-06-01,297.970093
2006-06-02,298.636749
2006-06-03,297.832794
2006-06-04,297.909912
2006-06-05,299.194397
2006-06-06,301.874573
2006-06-07,289.680878
2006-06-08,302.016174
2006-06-09,302.313904
2006-06-10,305.050415
2006-06-11,306.515778
2006-06-12,306.499908
2006-06-13,308.410248
2006-06-14,308.499146
2006-06-15,306.206940
2006-06-16,310.337585
2006-06-17,310.127228
2006-06-18,305.309387
2006-06-19,306.619629
2006-06-20,309.629974
2006-06-21,313.244507
2006-06-22,312.273041
2006-06-23,310.325653
2006-06-24,309.386414
2006-06-25,308.633270
2006-06-26,308.239288
2006-06-27,308.380890
2006-06-28,307.956879
2006-06-29,307.825317
2006-06-30,307.977112
2006-07-01,307.931641
2006-07-02,307.591095
2006-07-03,307.327698
2006-07-04,306.867310
2006-07-05,308.745483
2006-07-06,309.420624
2006-07-07,309.232666
2006-07-08,310.243805
2006-07-09,310.859222
2006-07-10,311.800629
2006-07-11,312.393555
2006-07-12,313.899200
2006-07-13,313.409607
2006-07-14,312.118500
2006-07-15,311.690857
2006-07-16,313.237701
2006-07-17,312.626312
2006-07-18,305.059906
2006-07-19,301.895386
2006-07-20,297.056946
2006-07-21,297.600983
2006-07-22,304.449402
2006-07-23,305.209137
2006-07-24,304.795410
2006-07-25,303.501221
2006-07-26,307.395538
2006-07-27,307.679962
2006-07-28,306.597595
2006-07-29,304.808167
2006-07-30,305.448517
2006-07-31,307.528625
2006-08-01,308.571442
2006-08-02,309.876038
2006-08-03,311.077240
2006-08-04,312.871094
2006-08-05,313.647339
2006-08-06,312.554810
2006-08-07,310.655762
2006-08-08,310.323669
2006-08-09,308.868408
2006-08-10,305.253082
2006-08-11,301.054169
2006-08-12,308.071686
2006-08-13,308.054443
2006-08-14,309.271698
2006-08-15,309.867096
2006-08-16,311.506439
2006-08-17,312.230713
2006-08-18,311.507599
2006-08-19,308.914795
2006-08-20,309.181976
2006-08-21,311.236298
2006-08-22,311.731598
2006-08-23,312.353455
2006-08-24,313.249969
2006-08-25,314.015015
2006-08-26,313.719025
2006-08-27,313.694733
2006-08-28,314.175079
2006-08-29,316.507812
2006-08-30,302.728027
2006-08-31,303.645233
2006-09-01,308.242432
2006-09-02,313.092529
2006-09-03,313.096710
2006-09-04,311.592346
2006-09-05,308.123993
2006-09-06,304.306885
2006-09-07,311.725800
2006-09-08,313.504181
2006-09-09,314.321625
2006-09-10,314.369934
2006-09-11,312.535400
2006-09-12,309.078156
2006-09-13,308.580444
2006-09-14,306.772339
2006-09-15,305.067535
2006-09-16,304.311340
2006-09-17,303.697571
2006-09-18,297.232452
2006-09-19,292.693817
2006-09-20,294.350464
2006-09-21,302.046204
2006-09-22,303.656372
2006-09-23,303.626160
2006-09-24,304.802490
2006-09-25,304.493622
2006-09-26,303.726624
2006-09-27,302.540863
2006-09-28,301.751648
2006-09-29,304.397308
2006-09-30,301.756042
2006-10-01,296.027527
2006-10-02,297.298126
2006-10-03,298.474121
2006-10-04,298.788422
2006-10-05,298.125214
2006-10-06,298.968811
2006-10-07,298.224213
2006-10-08,293.434326
2006-10-09,294.650482
2006-10-10,294.308868
2006-10-11,297.283844
2006-10-12,297.177795
2006-10-13,293.800629
2006-10-14,294.967407
2006-10-15,298.136871
2006-10-16,298.732849
2006-10-17,297.284668
2006-10-18,296.199219
2006-10-19,298.428833
2006-10-20,298.950989
2006-10-21,299.224640
2006-10-22,300.122162
2006-10-23,300.618469
2006-10-24,299.768982
2006-10-25,295.180389
2006-10-26,297.020874
2006-10-27,294.830841
2006-10-28,293.682678
2006-10-29,299.786743
2006-10-30,300.355743
2006-10-31,300.024994
2006-11-01,296.755920
2006-11-02,295.077362
2006-11-03,297.309052
2006-11-04,292.081482
2006-11-05,285.566345
2006-11-06,287.920074
2006-11-07,289.886688
2006-11-08,289.240753
2006-11-09,289.301239
2006-11-10,293.421936
2006-11-11,294.417480
2006-11-12,294.440338
2006-11-13,290.729828
2006-11-14,288.696442
2006-11-15,290.918243
2006-11-16,290.100189
2006-11-17,288.555328
2006-11-18,289.056366
2006-11-19,290.358734
2006-11-20,289.071869
2006-11-21,283.930542
2006-11-22,282.682526
2006-11-23,280.559875
2006-11-24,278.358887
2006-11-25,280.211914
2006-11-26,280.120392
2006-11-27,281.718811
2006-11-28,281.707642
2006-11-29,281.589142
2006-11-30,281.005524
2006-12-01,280.997772
2006-12-02,281.959320
2006-12-03,282.035217
2006-12-04,291.620209
2006-12-05,287.547913
2006-12-06,287.548370
2006-12-07,285.903229
2006-12-08,289.247498
2006-12-09,288.652069
2006-12-10,286.771759
2006-12-11,280.636139
2006-12-12,280.616241
2006-12-13,284.516754
2006-12-14,284.594238
2006-12-15,285.901093
2006-12-16,287.303192
2006-12-17,293.437347
2006-12-18,285.834717
2006-12-19,286.784607
2006-12-20,265.194977
2006-12-21,276.036560
2006-12-22,276.773682
2006-12-23,282.247498
2006-12-24,285.347229
