#Variables:
#tasmin(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3962 Latitude, -98.5226 Longitude (closest value to Latitude:35.3915, Longitude:-98.5138) "
#Original Data File(s):
#agg_macav2metdata_tasmin_BNU-ESM_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin(K)"
""
yyyy-mm-dd,tasmin(K)
2006-01-01,282.092163
2006-01-02,277.707764
2006-01-03,279.218964
2006-01-04,277.354767
2006-01-05,280.669464
2006-01-06,282.085724
2006-01-07,280.304230
2006-01-08,274.638397
2006-01-09,276.447388
2006-01-10,276.262451
2006-01-11,275.322510
2006-01-12,271.825928
2006-01-13,272.081635
2006-01-14,272.592194
2006-01-15,274.569977
2006-01-16,274.941528
2006-01-17,265.610931
2006-01-18,263.664276
2006-01-19,264.961792
2006-01-20,268.341370
2006-01-21,263.893585
2006-01-22,264.947144
2006-01-23,270.834351
2006-01-24,266.088043
2006-01-25,265.072876
2006-01-26,267.353790
2006-01-27,270.110229
2006-01-28,272.640869
2006-01-29,274.475861
2006-01-30,276.506653
2006-01-31,276.574677
2006-02-01,279.256805
2006-02-02,280.905426
2006-02-03,274.839478
2006-02-04,272.718719
2006-02-05,262.578278
2006-02-06,272.374847
2006-02-07,278.357635
2006-02-08,271.557251
2006-02-09,279.124084
2006-02-10,276.365967
2006-02-11,277.085754
2006-02-12,279.435333
2006-02-13,277.009949
2006-02-14,265.699554
2006-02-15,268.525177
2006-02-16,272.127472
2006-02-17,275.833435
2006-02-18,274.121918
2006-02-19,275.021576
2006-02-20,279.977051
2006-02-21,280.457428
2006-02-22,278.147797
2006-02-23,276.081116
2006-02-24,276.012146
2006-02-25,275.164032
2006-02-26,277.291870
2006-02-27,282.211029
2006-02-28,282.408569
2006-03-01,280.945129
2006-03-02,281.042450
2006-03-03,284.337463
2006-03-04,283.615845
2006-03-05,278.591827
2006-03-06,278.825165
2006-03-07,275.189423
2006-03-08,277.119781
2006-03-09,278.388367
2006-03-10,272.335175
2006-03-11,276.194550
2006-03-12,272.788544
2006-03-13,271.226685
2006-03-14,272.139191
2006-03-15,265.112305
2006-03-16,265.138245
