#Variables:
#tasmin(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3962 Latitude, -98.5226 Longitude (closest value to Latitude:35.3915, Longitude:-98.5138) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin(K)"
""
yyyy-mm-dd,tasmin(K)
2006-01-01,268.780029
2006-01-02,265.543427
2006-01-03,263.595856
2006-01-04,262.506897
2006-01-05,265.965912
2006-01-06,267.273926
2006-01-07,270.126862
2006-01-08,270.328491
2006-01-09,266.524841
2006-01-10,270.170227
2006-01-11,269.484894
2006-01-12,265.994171
2006-01-13,273.234497
2006-01-14,269.937683
2006-01-15,271.910431
2006-01-16,270.740387
2006-01-17,269.473816
2006-01-18,275.757538
2006-01-19,266.224335
2006-01-20,262.324799
2006-01-21,264.729980
2006-01-22,268.959412
2006-01-23,271.077301
2006-01-24,268.644928
2006-01-25,272.215515
2006-01-26,271.302734
2006-01-27,271.865326
2006-01-28,275.123138
2006-01-29,272.090973
2006-01-30,277.306976
2006-01-31,278.565735
2006-02-01,275.748352
2006-02-02,276.611023
2006-02-03,268.200745
2006-02-04,267.190948
2006-02-05,256.652802
2006-02-06,256.028473
2006-02-07,262.056976
2006-02-08,266.112793
2006-02-09,259.669128
2006-02-10,258.793304
2006-02-11,258.556641
2006-02-12,260.057251
2006-02-13,265.607971
2006-02-14,273.564606
2006-02-15,273.555664
2006-02-16,269.290405
2006-02-17,267.711884
2006-02-18,261.799408
2006-02-19,266.031342
2006-02-20,270.404541
2006-02-21,270.797791
2006-02-22,269.989471
2006-02-23,271.083618
2006-02-24,274.718903
2006-02-25,272.336609
2006-02-26,270.464783
2006-02-27,265.974426
2006-02-28,270.649597
2006-03-01,274.644073
2006-03-02,274.503448
2006-03-03,274.660065
2006-03-04,278.433411
2006-03-05,274.194824
2006-03-06,282.127136
2006-03-07,279.336334
2006-03-08,275.461578
2006-03-09,281.271820
2006-03-10,278.062531
2006-03-11,278.399048
2006-03-12,283.676514
2006-03-13,281.135101
2006-03-14,281.994415
2006-03-15,275.616455
2006-03-16,276.158691
