#Variables:
#tasmin(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3962 Latitude, -98.5226 Longitude (closest value to Latitude:35.3915, Longitude:-98.5138) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CSIRO-Mk3-6-0_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin(K)"
""
yyyy-mm-dd,tasmin(K)
2006-01-01,273.193237
2006-01-02,277.261963
2006-01-03,265.704437
2006-01-04,264.075348
2006-01-05,266.873474
2006-01-06,270.362518
2006-01-07,270.116180
2006-01-08,271.850708
2006-01-09,269.412933
2006-01-10,268.805023
2006-01-11,270.868073
2006-01-12,274.162964
2006-01-13,278.036499
2006-01-14,278.902924
2006-01-15,266.068085
2006-01-16,265.117554
2006-01-17,267.433350
2006-01-18,269.327728
2006-01-19,270.032196
2006-01-20,264.546906
2006-01-21,261.936371
2006-01-22,266.022858
2006-01-23,272.036865
2006-01-24,274.509949
2006-01-25,270.219116
2006-01-26,269.309540
2006-01-27,270.320160
2006-01-28,272.565430
2006-01-29,270.926971
2006-01-30,272.517059
2006-01-31,272.812317
2006-02-01,271.283569
2006-02-02,274.911713
2006-02-03,276.302826
2006-02-04,272.000153
2006-02-05,277.599274
2006-02-06,276.768066
2006-02-07,278.588409
2006-02-08,278.850037
2006-02-09,275.736938
2006-02-10,279.116577
2006-02-11,269.850830
2006-02-12,270.408569
2006-02-13,269.656219
2006-02-14,271.725861
2006-02-15,275.731598
2006-02-16,271.812225
2006-02-17,274.871460
2006-02-18,281.267761
2006-02-19,280.708954
2006-02-20,272.400513
2006-02-21,272.103180
2006-02-22,276.907166
2006-02-23,278.081940
2006-02-24,275.510345
2006-02-25,273.580750
2006-02-26,273.015228
2006-02-27,274.520538
2006-02-28,277.634644
2006-03-01,279.668610
2006-03-02,278.384644
2006-03-03,281.824554
2006-03-04,279.415649
2006-03-05,281.757172
2006-03-06,279.926727
2006-03-07,286.156433
2006-03-08,276.605865
2006-03-09,274.234375
2006-03-10,270.082184
2006-03-11,270.675720
2006-03-12,275.108429
2006-03-13,280.281525
2006-03-14,280.295227
2006-03-15,284.659149
