#Variables:
#tasmin(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3962 Latitude, -98.5226 Longitude (closest value to Latitude:35.3915, Longitude:-98.5138) "
#Original Data File(s):
#agg_macav2metdata_tasmin_IPSL-CM5A-LR_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin(K)"
""
yyyy-mm-dd,tasmin(K)
2006-01-01,266.228973
2006-01-02,265.701477
2006-01-03,266.132874
2006-01-04,267.341370
2006-01-05,267.735382
2006-01-06,271.634521
2006-01-07,271.918579
2006-01-08,268.285309
2006-01-09,265.306976
2006-01-10,265.391357
2006-01-11,268.127563
2006-01-12,265.696716
2006-01-13,272.022675
2006-01-14,273.433228
2006-01-15,274.908264
2006-01-16,273.884125
2006-01-17,272.969604
2006-01-18,274.191895
2006-01-19,263.238770
2006-01-20,262.936615
2006-01-21,265.769409
2006-01-22,265.303192
2006-01-23,266.250885
2006-01-24,266.585266
2006-01-25,268.276123
2006-01-26,274.995483
2006-01-27,270.760010
2006-01-28,277.121490
2006-01-29,273.937531
2006-01-30,272.912109
2006-01-31,268.512573
2006-02-01,263.301880
2006-02-02,264.582855
2006-02-03,262.474945
2006-02-04,263.257324
2006-02-05,263.253632
2006-02-06,270.334625
2006-02-07,273.810028
2006-02-08,263.239868
2006-02-09,265.155945
2006-02-10,270.362579
2006-02-11,274.630676
2006-02-12,273.229065
2006-02-13,272.184662
2006-02-14,279.709045
2006-02-15,279.142090
2006-02-16,277.945251
2006-02-17,275.139709
2006-02-18,273.558044
2006-02-19,276.560852
2006-02-20,276.086456
2006-02-21,278.604828
2006-02-22,277.532379
2006-02-23,272.656433
2006-02-24,266.803528
2006-02-25,267.558258
2006-02-26,269.752289
2006-02-27,269.693848
2006-02-28,271.362091
2006-03-01,271.955292
2006-03-02,268.795441
2006-03-03,258.872864
2006-03-04,269.100220
2006-03-05,274.013336
2006-03-06,272.377808
2006-03-07,275.855347
2006-03-08,276.173859
2006-03-09,283.140442
2006-03-10,284.517426
2006-03-11,262.989166
2006-03-12,264.169098
2006-03-13,274.013397
2006-03-14,264.084778
2006-03-15,273.435883
2006-03-16,273.414215
