#Variables:
#tasmin(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3962 Latitude, -98.5226 Longitude (closest value to Latitude:35.3915, Longitude:-98.5138) "
#Original Data File(s):
#agg_macav2metdata_tasmin_MIROC-ESM-CHEM_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin(K)"
""
yyyy-mm-dd,tasmin(K)
2006-01-01,273.558929
2006-01-02,270.402069
2006-01-03,264.057983
2006-01-04,263.719116
2006-01-05,268.671906
2006-01-06,264.547363
2006-01-07,264.408081
2006-01-08,267.810242
2006-01-09,265.821808
2006-01-10,262.134552
2006-01-11,261.588837
2006-01-12,263.926392
2006-01-13,259.911530
2006-01-14,257.293457
2006-01-15,259.830780
2006-01-16,267.770142
2006-01-17,267.148865
2006-01-18,263.351990
2006-01-19,263.951843
2006-01-20,269.050415
2006-01-21,269.588257
2006-01-22,269.893311
2006-01-23,274.669769
2006-01-24,274.186951
2006-01-25,274.721741
2006-01-26,274.743134
2006-01-27,273.233978
2006-01-28,278.071167
2006-01-29,275.032837
2006-01-30,267.247070
2006-01-31,270.640594
2006-02-01,272.537842
2006-02-02,269.067993
2006-02-03,270.997772
2006-02-04,271.771210
2006-02-05,274.039856
2006-02-06,270.453094
2006-02-07,266.717010
2006-02-08,269.670105
2006-02-09,275.686829
2006-02-10,279.641937
2006-02-11,272.778046
2006-02-12,273.504883
2006-02-13,273.817505
2006-02-14,275.155792
2006-02-15,272.890167
2006-02-16,274.817200
2006-02-17,278.534424
2006-02-18,275.747772
2006-02-19,270.010925
2006-02-20,272.409149
2006-02-21,276.562439
2006-02-22,276.931061
2006-02-23,277.833862
2006-02-24,274.713989
2006-02-25,276.039551
2006-02-26,276.558319
2006-02-27,276.952179
2006-02-28,275.799835
2006-03-01,277.881805
2006-03-02,278.756744
2006-03-03,273.520996
2006-03-04,277.492889
2006-03-05,280.371094
2006-03-06,284.303223
2006-03-07,271.915192
2006-03-08,271.375397
2006-03-09,274.031555
2006-03-10,284.042694
2006-03-11,272.227570
2006-03-12,272.535767
2006-03-13,276.945007
2006-03-14,276.885651
2006-03-15,274.921051
2006-03-16,274.782684
