#Variables:
#tasmin(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3962 Latitude, -98.5226 Longitude (closest value to Latitude:35.3915, Longitude:-98.5138) "
#Original Data File(s):
#agg_macav2metdata_tasmin_MIROC-ESM_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin(K)"
""
yyyy-mm-dd,tasmin(K)
2006-01-01,272.834442
2006-01-02,271.015900
2006-01-03,274.660950
2006-01-04,273.401550
2006-01-05,271.634216
2006-01-06,266.088196
2006-01-07,271.861603
2006-01-08,268.604462
2006-01-09,270.628967
2006-01-10,268.309113
2006-01-11,268.322021
2006-01-12,272.476074
2006-01-13,271.859406
2006-01-14,272.410156
2006-01-15,271.307495
2006-01-16,272.441711
2006-01-17,259.843811
2006-01-18,262.225311
2006-01-19,269.276794
2006-01-20,267.056549
2006-01-21,269.137939
2006-01-22,273.306854
2006-01-23,278.258545
2006-01-24,272.425751
2006-01-25,268.346649
2006-01-26,271.010620
2006-01-27,273.070465
2006-01-28,279.080902
2006-01-29,269.456696
2006-01-30,267.666595
2006-01-31,272.861786
2006-02-01,267.011292
2006-02-02,268.332092
2006-02-03,271.565308
2006-02-04,278.357574
2006-02-05,275.122925
2006-02-06,271.016876
2006-02-07,271.605713
2006-02-08,272.334747
2006-02-09,274.138306
2006-02-10,264.308167
2006-02-11,269.963226
2006-02-12,275.917328
2006-02-13,259.176636
2006-02-14,267.381805
2006-02-15,266.465057
2006-02-16,261.462982
2006-02-17,272.116791
2006-02-18,273.435333
2006-02-19,271.459991
2006-02-20,273.795990
2006-02-21,275.346771
2006-02-22,275.285706
2006-02-23,275.700470
2006-02-24,277.695099
2006-02-25,278.199646
2006-02-26,282.357849
2006-02-27,273.747223
2006-02-28,269.863373
2006-03-01,271.581238
2006-03-02,273.014557
2006-03-03,265.450104
2006-03-04,268.050110
2006-03-05,265.030792
2006-03-06,270.755249
2006-03-07,279.623627
2006-03-08,276.386322
2006-03-09,277.967163
2006-03-10,282.658997
2006-03-11,279.537537
2006-03-12,283.495270
2006-03-13,279.637817
2006-03-14,283.654266
2006-03-15,281.952545
2006-03-16,281.621460
