#Variables:
#tasmin(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3962 Latitude, -98.5226 Longitude (closest value to Latitude:35.3915, Longitude:-98.5138) "
#Original Data File(s):
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin(K)"
""
yyyy-mm-dd,tasmin(K)
2006-01-01,268.600281
2006-01-02,270.365875
2006-01-03,271.562744
2006-01-04,274.513916
2006-01-05,272.826324
2006-01-06,268.120239
2006-01-07,267.949310
2006-01-08,269.410278
2006-01-09,271.943451
2006-01-10,277.169769
2006-01-11,274.686554
2006-01-12,278.215302
2006-01-13,267.730530
2006-01-14,266.453827
2006-01-15,266.766632
2006-01-16,266.926941
2006-01-17,265.454468
2006-01-18,267.137909
2006-01-19,269.278534
2006-01-20,270.341248
2006-01-21,268.772400
2006-01-22,271.092163
2006-01-23,273.097107
2006-01-24,275.143585
2006-01-25,274.875702
2006-01-26,272.773987
2006-01-27,274.015411
2006-01-28,273.499512
2006-01-29,273.716461
2006-01-30,274.353027
2006-01-31,277.568115
2006-02-01,268.533447
2006-02-02,266.241455
2006-02-03,270.250854
2006-02-04,274.085846
2006-02-05,277.576294
2006-02-06,281.347229
2006-02-07,279.284790
2006-02-08,269.859680
2006-02-09,267.670258
2006-02-10,264.989349
2006-02-11,267.821472
2006-02-12,269.769531
2006-02-13,270.858704
2006-02-14,272.605499
2006-02-15,276.826263
2006-02-16,274.347076
2006-02-17,274.212158
2006-02-18,276.168427
2006-02-19,280.473907
2006-02-20,276.046234
2006-02-21,272.080322
2006-02-22,276.171326
2006-02-23,280.122040
2006-02-24,280.383820
2006-02-25,285.726074
2006-02-26,284.435089
2006-02-27,276.078674
2006-02-28,276.242981
2006-03-01,277.800659
2006-03-02,272.093933
2006-03-03,276.722107
2006-03-04,276.097351
2006-03-05,279.092041
2006-03-06,280.015320
2006-03-07,277.767334
2006-03-08,265.918396
2006-03-09,271.194397
2006-03-10,270.126343
2006-03-11,272.048248
2006-03-12,273.313629
2006-03-13,275.519012
2006-03-14,275.728699
2006-03-15,280.196045
2006-03-16,279.849518
