#Variables:
#tasmin(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3962 Latitude, -98.5226 Longitude (closest value to Latitude:35.3915, Longitude:-98.5138) "
#Original Data File(s):
#agg_macav2metdata_tasmin_inmcm4_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin(K)"
""
yyyy-mm-dd,tasmin(K)
2006-01-01,271.770660
2006-01-02,270.404388
2006-01-03,272.385101
2006-01-04,278.229004
2006-01-05,275.277588
2006-01-06,275.563385
2006-01-07,276.503571
2006-01-08,269.761261
2006-01-09,270.170441
2006-01-10,275.725677
2006-01-11,271.042236
2006-01-12,275.556305
2006-01-13,273.800110
2006-01-14,271.519623
2006-01-15,277.646057
2006-01-16,274.403992
2006-01-17,269.410706
2006-01-18,274.615479
2006-01-19,267.601074
2006-01-20,265.569824
2006-01-21,264.093872
2006-01-22,264.454712
2006-01-23,265.033661
2006-01-24,262.589722
2006-01-25,264.141785
2006-01-26,264.550690
2006-01-27,267.612335
2006-01-28,270.025238
2006-01-29,272.656494
2006-01-30,268.189789
2006-01-31,269.825378
2006-02-01,270.186615
2006-02-02,263.589600
2006-02-03,274.567719
2006-02-04,271.079437
2006-02-05,271.603790
2006-02-06,266.432892
2006-02-07,271.220123
2006-02-08,270.551208
2006-02-09,271.281372
2006-02-10,277.988220
2006-02-11,277.430786
2006-02-12,270.793396
2006-02-13,271.989136
2006-02-14,270.050201
2006-02-15,270.954834
2006-02-16,272.742767
2006-02-17,273.755615
2006-02-18,275.332397
2006-02-19,274.852600
2006-02-20,275.116760
2006-02-21,269.894104
2006-02-22,268.734619
2006-02-23,277.406982
2006-02-24,278.329071
2006-02-25,276.448944
2006-02-26,272.350403
2006-02-27,271.341797
2006-02-28,272.307983
2006-03-01,275.664246
2006-03-02,276.041992
2006-03-03,282.307983
2006-03-04,272.796936
2006-03-05,278.935394
2006-03-06,281.380646
2006-03-07,274.025146
2006-03-08,274.923126
2006-03-09,274.925354
2006-03-10,275.671997
2006-03-11,272.323456
2006-03-12,277.524536
2006-03-13,276.623199
2006-03-14,274.361053
2006-03-15,273.725281
2006-03-16,280.347931
