#Variables:
#tasmax(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3962 Latitude, -98.4809 Longitude (closest value to Latitude:35.3764, Longitude:-98.465) "
#Original Data File(s):
#agg_macav2metdata_tasmax_IPSL-CM5A-LR_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmax(K)"
""
yyyy-mm-dd,tasmax(K)
2006-01-01,279.898193
2006-01-02,278.985840
2006-01-03,281.446594
2006-01-04,283.055176
2006-01-05,284.434326
2006-01-06,286.285583
2006-01-07,281.866180
2006-01-08,278.902863
2006-01-09,276.883087
2006-01-10,283.473999
2006-01-11,279.903564
2006-01-12,281.715851
2006-01-13,289.433868
2006-01-14,289.143372
2006-01-15,289.183258
2006-01-16,286.564087
2006-01-17,288.486420
2006-01-18,284.633362
2006-01-19,285.051208
2006-01-20,270.584198
2006-01-21,271.012695
2006-01-22,278.666229
2006-01-23,282.266754
2006-01-24,290.028412
2006-01-25,295.719727
2006-01-26,293.007111
2006-01-27,293.493652
2006-01-28,291.411652
2006-01-29,293.458069
2006-01-30,292.827118
2006-01-31,283.758026
2006-02-01,275.857025
2006-02-02,275.810028
2006-02-03,281.400909
2006-02-04,285.907928
2006-02-05,278.067322
2006-02-06,278.173492
2006-02-07,279.629639
2006-02-08,286.555603
2006-02-09,286.385529
2006-02-10,287.920624
2006-02-11,282.537567
2006-02-12,282.757904
2006-02-13,266.553802
2006-02-14,273.128998
2006-02-15,275.188354
2006-02-16,276.580597
2006-02-17,277.959137
2006-02-18,291.793182
2006-02-19,289.983948
2006-02-20,284.598816
2006-02-21,292.943115
2006-02-22,286.268738
2006-02-23,282.298126
2006-02-24,282.442352
2006-02-25,279.520386
2006-02-26,283.631256
2006-02-27,289.999969
2006-02-28,289.808838
2006-03-01,289.468994
2006-03-02,284.550079
2006-03-03,275.234039
2006-03-04,274.549866
2006-03-05,283.752014
2006-03-06,290.074707
2006-03-07,284.347382
2006-03-08,276.211060
2006-03-09,283.317017
2006-03-10,282.251404
2006-03-11,281.161285
2006-03-12,282.465027
2006-03-13,293.170135
2006-03-14,299.185822
2006-03-15,301.317780
2006-03-16,294.995453
2006-03-17,279.301849
2006-03-18,279.995117
2006-03-19,283.971375
2006-03-20,282.493408
2006-03-21,286.840912
2006-03-22,284.509460
2006-03-23,284.956390
2006-03-24,292.302277
2006-03-25,295.641937
2006-03-26,293.176880
2006-03-27,289.490723
2006-03-28,287.993988
2006-03-29,295.366913
2006-03-30,297.160400
2006-03-31,301.547485
2006-04-01,296.830933
2006-04-02,285.837921
2006-04-03,287.641022
2006-04-04,290.508240
2006-04-05,294.701599
2006-04-06,297.366791
2006-04-07,295.434021
2006-04-08,292.619873
2006-04-09,295.021881
2006-04-10,293.627838
2006-04-11,293.507355
2006-04-12,294.403961
2006-04-13,293.132050
2006-04-14,293.068207
2006-04-15,288.475311
2006-04-16,295.313293
2006-04-17,301.427826
2006-04-18,304.554932
2006-04-19,303.034973
2006-04-20,298.920959
2006-04-21,288.964172
2006-04-22,297.912170
2006-04-23,303.407227
2006-04-24,303.777466
2006-04-25,302.083893
2006-04-26,298.428650
2006-04-27,295.280823
2006-04-28,295.083527
2006-04-29,301.143005
2006-04-30,303.295227
2006-05-01,304.738220
2006-05-02,301.904236
2006-05-03,294.488770
2006-05-04,296.179626
2006-05-05,298.674805
2006-05-06,302.519989
2006-05-07,304.416809
2006-05-08,303.191925
2006-05-09,306.323151
2006-05-10,304.573212
2006-05-11,303.456940
2006-05-12,308.236603
2006-05-13,307.265289
2006-05-14,307.546783
2006-05-15,304.426880
2006-05-16,308.053558
2006-05-17,306.403107
2006-05-18,306.220978
2006-05-19,304.783508
2006-05-20,302.589233
2006-05-21,305.092621
2006-05-22,306.551910
2006-05-23,305.673004
2006-05-24,304.737061
2006-05-25,299.115204
2006-05-26,296.886505
2006-05-27,298.960175
2006-05-28,304.601593
2006-05-29,306.967438
2006-05-30,306.080841
2006-05-31,301.086548
2006-06-01,302.033264
2006-06-02,303.768707
2006-06-03,305.979919
2006-06-04,309.544556
2006-06-05,311.510162
2006-06-06,311.786285
2006-06-07,311.497131
2006-06-08,311.345642
2006-06-09,310.857483
2006-06-10,308.877350
2006-06-11,306.768433
2006-06-12,306.918640
2006-06-13,307.414551
2006-06-14,306.271759
2006-06-15,306.194916
2006-06-16,307.653076
2006-06-17,309.474915
2006-06-18,311.453156
2006-06-19,311.944580
2006-06-20,310.423065
2006-06-21,310.520660
2006-06-22,312.009644
2006-06-23,309.762451
2006-06-24,307.370941
2006-06-25,307.795441
2006-06-26,310.919495
2006-06-27,310.449402
2006-06-28,309.902435
2006-06-29,310.266571
2006-06-30,309.535431
2006-07-01,309.141022
2006-07-02,310.193024
2006-07-03,310.216278
2006-07-04,307.941803
2006-07-05,308.732300
2006-07-06,308.625214
2006-07-07,307.907654
2006-07-08,306.169556
2006-07-09,308.055145
2006-07-10,308.113647
2006-07-11,307.648621
2006-07-12,305.889923
2006-07-13,305.875153
2006-07-14,306.091797
2006-07-15,305.378815
2006-07-16,304.952179
2006-07-17,305.983856
2006-07-18,308.117310
2006-07-19,309.923706
2006-07-20,310.995361
2006-07-21,312.032288
2006-07-22,312.988159
2006-07-23,313.012848
2006-07-24,312.128784
2006-07-25,309.683228
2006-07-26,308.318420
2006-07-27,312.631561
2006-07-28,313.200134
2006-07-29,312.644714
2006-07-30,311.469910
2006-07-31,312.271149
2006-08-01,311.186218
2006-08-02,310.421539
2006-08-03,310.912628
2006-08-04,310.122131
2006-08-05,310.831787
2006-08-06,310.318237
2006-08-07,308.582642
2006-08-08,306.211487
2006-08-09,306.768097
2006-08-10,307.929199
2006-08-11,307.262115
2006-08-12,307.086151
2006-08-13,307.696625
2006-08-14,309.824799
2006-08-15,308.299835
2006-08-16,308.614166
2006-08-17,307.476074
2006-08-18,307.844330
2006-08-19,311.033417
2006-08-20,311.816650
2006-08-21,311.376404
2006-08-22,311.820618
2006-08-23,312.440491
2006-08-24,313.065125
2006-08-25,312.720764
2006-08-26,312.267548
2006-08-27,312.496643
2006-08-28,312.963989
2006-08-29,312.691284
2006-08-30,311.359100
2006-08-31,311.392151
2006-09-01,311.434387
2006-09-02,310.573700
2006-09-03,308.812378
2006-09-04,305.337311
2006-09-05,302.776215
2006-09-06,305.533203
2006-09-07,308.827942
2006-09-08,307.029999
2006-09-09,304.427155
2006-09-10,303.336212
2006-09-11,307.806396
2006-09-12,311.367004
2006-09-13,310.165497
2006-09-14,308.646606
2006-09-15,305.870636
2006-09-16,301.583832
2006-09-17,301.099030
2006-09-18,301.287659
2006-09-19,304.337494
2006-09-20,305.079681
2006-09-21,303.599548
2006-09-22,303.166962
2006-09-23,300.626160
2006-09-24,297.654663
2006-09-25,299.574921
2006-09-26,301.271912
2006-09-27,303.140198
2006-09-28,301.890320
2006-09-29,297.611145
2006-09-30,285.937256
2006-10-01,294.399719
2006-10-02,297.706696
2006-10-03,294.491364
2006-10-04,293.862427
2006-10-05,298.640594
2006-10-06,288.957275
2006-10-07,288.573914
2006-10-08,295.529602
2006-10-09,294.435791
2006-10-10,294.803162
2006-10-11,295.546753
2006-10-12,301.513306
2006-10-13,301.321289
2006-10-14,301.458466
2006-10-15,299.035553
2006-10-16,295.810028
2006-10-17,294.976624
2006-10-18,292.793304
2006-10-19,290.726685
2006-10-20,294.376312
2006-10-21,295.776001
2006-10-22,298.750427
2006-10-23,297.695801
2006-10-24,296.906464
2006-10-25,295.722900
2006-10-26,294.186890
2006-10-27,294.957855
2006-10-28,298.114868
2006-10-29,295.155853
2006-10-30,294.951569
2006-10-31,296.610260
2006-11-01,300.321259
2006-11-02,296.526398
2006-11-03,290.304443
2006-11-04,294.990845
2006-11-05,290.550262
2006-11-06,282.661163
2006-11-07,281.441376
2006-11-08,278.486115
2006-11-09,283.190979
2006-11-10,287.827087
2006-11-11,295.151703
2006-11-12,291.749176
2006-11-13,289.414032
2006-11-14,294.362457
2006-11-15,293.944214
2006-11-16,284.893433
2006-11-17,283.539886
2006-11-18,287.857056
2006-11-19,286.918518
2006-11-20,288.907471
2006-11-21,291.200043
2006-11-22,290.438141
2006-11-23,293.456055
2006-11-24,295.037384
2006-11-25,292.676971
2006-11-26,286.521393
2006-11-27,289.904053
2006-11-28,289.990448
2006-11-29,293.160095
2006-11-30,285.999817
2006-12-01,288.238190
2006-12-02,289.938354
2006-12-03,289.048859
2006-12-04,292.713043
2006-12-05,289.950012
2006-12-06,289.823029
2006-12-07,289.423218
2006-12-08,288.106689
2006-12-09,290.118134
2006-12-10,289.585022
2006-12-11,284.687012
2006-12-12,283.205292
2006-12-13,284.616974
2006-12-14,288.435089
2006-12-15,283.143524
2006-12-16,276.340393
2006-12-17,283.468292
2006-12-18,286.619171
2006-12-19,285.766602
2006-12-20,282.137421
2006-12-21,282.753418
2006-12-22,281.185638
2006-12-23,277.647705
2006-12-24,276.889099
