#Variables:
#tasmax(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3962 Latitude, -98.4809 Longitude (closest value to Latitude:35.3764, Longitude:-98.465) "
#Original Data File(s):
#agg_macav2metdata_tasmax_inmcm4_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmax(K)"
""
yyyy-mm-dd,tasmax(K)
2006-01-01,277.907532
2006-01-02,281.019348
2006-01-03,283.719666
2006-01-04,289.005707
2006-01-05,291.205322
2006-01-06,292.818359
2006-01-07,292.540131
2006-01-08,283.862427
2006-01-09,279.675018
2006-01-10,281.863861
2006-01-11,286.853363
2006-01-12,287.408875
2006-01-13,279.288452
2006-01-14,284.720215
2006-01-15,285.402252
2006-01-16,281.788757
2006-01-17,280.764343
2006-01-18,279.395966
2006-01-19,277.691864
2006-01-20,270.391632
2006-01-21,273.002197
2006-01-22,273.545044
2006-01-23,272.390717
2006-01-24,276.417480
2006-01-25,283.244110
2006-01-26,284.619263
2006-01-27,286.068054
2006-01-28,285.069458
2006-01-29,284.572327
2006-01-30,279.738678
2006-01-31,283.135193
2006-02-01,280.127716
2006-02-02,274.214691
2006-02-03,276.611572
2006-02-04,288.126617
2006-02-05,285.330933
2006-02-06,286.665222
2006-02-07,290.889343
2006-02-08,293.187317
2006-02-09,292.094025
2006-02-10,286.281769
2006-02-11,279.834442
2006-02-12,280.682007
2006-02-13,273.675385
2006-02-14,270.324402
2006-02-15,274.747955
2006-02-16,280.269775
2006-02-17,282.219971
2006-02-18,283.429901
2006-02-19,280.397888
2006-02-20,277.371674
2006-02-21,277.516693
2006-02-22,279.889099
2006-02-23,282.759125
2006-02-24,286.423859
2006-02-25,280.523651
2006-02-26,281.780365
2006-02-27,273.606537
2006-02-28,278.325073
2006-03-01,278.942139
2006-03-02,283.763062
2006-03-03,288.740295
2006-03-04,287.773315
2006-03-05,284.759369
2006-03-06,285.408600
2006-03-07,283.204315
2006-03-08,276.177094
2006-03-09,276.248993
2006-03-10,277.557617
2006-03-11,281.290314
2006-03-12,281.657990
2006-03-13,283.113159
2006-03-14,279.134033
2006-03-15,282.454803
2006-03-16,283.432037
2006-03-17,288.345642
2006-03-18,289.804535
2006-03-19,290.007538
2006-03-20,292.921906
2006-03-21,292.911072
2006-03-22,291.162628
2006-03-23,284.931000
2006-03-24,289.248230
2006-03-25,290.318939
2006-03-26,290.820831
2006-03-27,285.248932
2006-03-28,290.029480
2006-03-29,291.105988
2006-03-30,286.224060
2006-03-31,285.036438
2006-04-01,287.933777
2006-04-02,288.131927
2006-04-03,279.075104
2006-04-04,281.234680
2006-04-05,287.934265
2006-04-06,288.175690
2006-04-07,292.744385
2006-04-08,298.310547
2006-04-09,297.585236
2006-04-10,295.221680
2006-04-11,290.845001
2006-04-12,281.851807
2006-04-13,288.319550
2006-04-14,288.865448
2006-04-15,291.259003
2006-04-16,297.820343
2006-04-17,297.966400
2006-04-18,297.581665
2006-04-19,296.466583
2006-04-20,289.355713
2006-04-21,283.462250
2006-04-22,292.582123
2006-04-23,299.013672
2006-04-24,299.599670
2006-04-25,299.600983
2006-04-26,302.193573
2006-04-27,299.893219
2006-04-28,296.722382
2006-04-29,297.479492
2006-04-30,300.344482
2006-05-01,300.813477
2006-05-02,299.251343
2006-05-03,294.105469
2006-05-04,293.413879
2006-05-05,297.772430
2006-05-06,298.347687
2006-05-07,299.259613
2006-05-08,304.324097
2006-05-09,303.042511
2006-05-10,301.814941
2006-05-11,297.456879
2006-05-12,303.695099
2006-05-13,301.970642
2006-05-14,293.372040
2006-05-15,287.091156
2006-05-16,288.095764
2006-05-17,294.663086
2006-05-18,303.126221
2006-05-19,303.416473
2006-05-20,303.349243
2006-05-21,301.363708
2006-05-22,301.359406
2006-05-23,302.139465
2006-05-24,304.236481
2006-05-25,304.878418
2006-05-26,305.127167
2006-05-27,304.077393
2006-05-28,303.600250
2006-05-29,302.823914
2006-05-30,298.735321
2006-05-31,299.420441
2006-06-01,304.066284
2006-06-02,304.615723
2006-06-03,304.935486
2006-06-04,304.915436
2006-06-05,304.647095
2006-06-06,303.502838
2006-06-07,306.007874
2006-06-08,307.423187
2006-06-09,307.851074
2006-06-10,306.654846
2006-06-11,306.774750
2006-06-12,308.076813
2006-06-13,308.704346
2006-06-14,308.569122
2006-06-15,307.878052
2006-06-16,307.513123
2006-06-17,307.409851
2006-06-18,308.507721
2006-06-19,309.625244
2006-06-20,309.399719
2006-06-21,308.398346
2006-06-22,307.574402
2006-06-23,306.440491
2006-06-24,308.615570
2006-06-25,310.490448
2006-06-26,311.270081
2006-06-27,313.083557
2006-06-28,313.875427
2006-06-29,313.943024
2006-06-30,314.407623
2006-07-01,314.347198
2006-07-02,315.373413
2006-07-03,314.875824
2006-07-04,314.399872
2006-07-05,314.387360
2006-07-06,312.486938
2006-07-07,310.335968
2006-07-08,310.386292
2006-07-09,310.919800
2006-07-10,306.747894
2006-07-11,309.688080
2006-07-12,314.295502
2006-07-13,308.402130
2006-07-14,309.755768
2006-07-15,309.811890
2006-07-16,308.373444
2006-07-17,308.461945
2006-07-18,308.807892
2006-07-19,310.372498
2006-07-20,309.110291
2006-07-21,310.592926
2006-07-22,311.782684
2006-07-23,313.108124
2006-07-24,313.362854
2006-07-25,310.074707
2006-07-26,308.807922
2006-07-27,310.130341
2006-07-28,310.294281
2006-07-29,310.677002
2006-07-30,308.473938
2006-07-31,307.765533
2006-08-01,307.734711
2006-08-02,307.131470
2006-08-03,307.280670
2006-08-04,308.533539
2006-08-05,309.086151
2006-08-06,309.956787
2006-08-07,311.225616
2006-08-08,312.420654
2006-08-09,313.206543
2006-08-10,311.625610
2006-08-11,309.982239
2006-08-12,308.647461
2006-08-13,309.936615
2006-08-14,311.968323
2006-08-15,312.431610
2006-08-16,312.286743
2006-08-17,312.037628
2006-08-18,311.855896
2006-08-19,309.733826
2006-08-20,309.173950
2006-08-21,310.122894
2006-08-22,311.187622
2006-08-23,312.220123
2006-08-24,312.339966
2006-08-25,311.943665
2006-08-26,311.438965
2006-08-27,311.356628
2006-08-28,311.657257
2006-08-29,314.686218
2006-08-30,315.145630
2006-08-31,315.411591
2006-09-01,309.956299
2006-09-02,299.867188
2006-09-03,303.040741
2006-09-04,310.545105
2006-09-05,311.179993
2006-09-06,309.986511
2006-09-07,308.483490
2006-09-08,309.058746
2006-09-09,309.986023
2006-09-10,308.285706
2006-09-11,304.582458
2006-09-12,304.087402
2006-09-13,305.808838
2006-09-14,308.416595
2006-09-15,307.885284
2006-09-16,306.926910
2006-09-17,304.918457
2006-09-18,301.736694
2006-09-19,301.720245
2006-09-20,305.873383
2006-09-21,309.179901
2006-09-22,308.886597
2006-09-23,304.900513
2006-09-24,303.080536
2006-09-25,303.435455
2006-09-26,304.120422
2006-09-27,304.389954
2006-09-28,307.348053
2006-09-29,306.594696
2006-09-30,304.686646
2006-10-01,303.436554
2006-10-02,302.375488
2006-10-03,301.018311
2006-10-04,305.872772
2006-10-05,285.878479
2006-10-06,286.773865
2006-10-07,295.288971
2006-10-08,296.429016
2006-10-09,296.594147
2006-10-10,292.090881
2006-10-11,291.115326
2006-10-12,289.526031
2006-10-13,297.389282
2006-10-14,297.812164
2006-10-15,296.253357
2006-10-16,302.751068
2006-10-17,302.934448
2006-10-18,297.051178
2006-10-19,297.580780
2006-10-20,298.813843
2006-10-21,299.289429
2006-10-22,301.419128
2006-10-23,300.132263
2006-10-24,299.692139
2006-10-25,296.554810
2006-10-26,296.301514
2006-10-27,287.181396
2006-10-28,288.910736
2006-10-29,287.883392
2006-10-30,284.525391
2006-10-31,285.549225
2006-11-01,286.019653
2006-11-02,287.064728
2006-11-03,292.725769
2006-11-04,293.122009
2006-11-05,292.132141
2006-11-06,286.733490
2006-11-07,292.234070
2006-11-08,292.183716
2006-11-09,289.813873
2006-11-10,294.251587
2006-11-11,296.379669
2006-11-12,295.832336
2006-11-13,297.765991
2006-11-14,296.895477
2006-11-15,292.200012
2006-11-16,294.637604
2006-11-17,293.562317
2006-11-18,291.303192
2006-11-19,295.347015
2006-11-20,295.387970
2006-11-21,294.313446
2006-11-22,294.453308
2006-11-23,295.033447
2006-11-24,294.828888
2006-11-25,293.555054
2006-11-26,291.965912
2006-11-27,289.893829
2006-11-28,289.211365
2006-11-29,288.188568
2006-11-30,288.176056
2006-12-01,291.235199
2006-12-02,293.791626
2006-12-03,293.957581
2006-12-04,296.430481
2006-12-05,295.062134
2006-12-06,292.302032
2006-12-07,292.640411
2006-12-08,291.001465
2006-12-09,289.641998
2006-12-10,282.859741
2006-12-11,284.869293
2006-12-12,293.457581
2006-12-13,293.136536
2006-12-14,292.825287
2006-12-15,292.900177
2006-12-16,291.514801
2006-12-17,291.648193
2006-12-18,290.909790
2006-12-19,294.215668
2006-12-20,294.235138
2006-12-21,294.068451
2006-12-22,285.132599
2006-12-23,277.530884
2006-12-24,277.250488
2006-12-25,276.252686
