#Variables:
#tasmin(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3962 Latitude, -98.4809 Longitude (closest value to Latitude:35.3764, Longitude:-98.465) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CCSM4_r6i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin(K)"
""
yyyy-mm-dd,tasmin(K)
2006-01-01,270.579071
2006-01-02,272.981995
2006-01-03,268.653259
2006-01-04,270.008423
2006-01-05,275.579437
2006-01-06,274.375977
2006-01-07,270.422913
2006-01-08,274.532074
2006-01-09,271.491791
2006-01-10,272.614105
2006-01-11,272.129852
2006-01-12,274.067657
2006-01-13,277.305359
2006-01-14,281.933960
2006-01-15,278.272614
2006-01-16,272.127594
2006-01-17,271.629517
2006-01-18,274.247589
2006-01-19,274.992798
2006-01-20,278.281372
2006-01-21,274.609467
2006-01-22,276.854889
2006-01-23,275.387482
2006-01-24,280.103210
2006-01-25,277.764496
2006-01-26,270.783783
2006-01-27,273.620911
2006-01-28,269.525879
2006-01-29,264.975372
2006-01-30,266.987030
2006-01-31,270.442352
2006-02-01,273.173096
2006-02-02,268.106049
2006-02-03,263.922699
2006-02-04,267.796753
2006-02-05,269.314087
2006-02-06,268.436554
2006-02-07,267.378906
2006-02-08,272.023987
2006-02-09,272.110382
2006-02-10,271.930695
2006-02-11,265.826660
2006-02-12,262.653046
2006-02-13,267.252655
2006-02-14,264.065857
2006-02-15,268.528687
2006-02-16,262.893005
2006-02-17,262.752869
2006-02-18,265.233429
2006-02-19,272.218903
2006-02-20,272.183258
2006-02-21,269.856476
2006-02-22,270.702820
2006-02-23,270.907684
2006-02-24,270.446350
2006-02-25,276.518463
2006-02-26,278.234802
2006-02-27,272.999298
2006-02-28,271.652100
2006-03-01,272.837646
2006-03-02,273.449890
2006-03-03,276.028992
2006-03-04,279.349854
2006-03-05,274.733490
2006-03-06,279.139069
2006-03-07,278.801941
2006-03-08,280.390045
2006-03-09,276.366821
2006-03-10,278.184204
2006-03-11,279.349487
2006-03-12,279.978271
2006-03-13,274.872681
2006-03-14,274.323578
2006-03-15,274.919678
2006-03-16,270.644379
