#Variables:
#tasmin(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3962 Latitude, -98.4809 Longitude (closest value to Latitude:35.3764, Longitude:-98.465) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CanESM2_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin(K)"
""
yyyy-mm-dd,tasmin(K)
2006-01-01,272.974823
2006-01-02,273.697266
2006-01-03,266.272705
2006-01-04,264.046997
2006-01-05,264.132690
2006-01-06,268.065063
2006-01-07,266.417480
2006-01-08,265.508331
2006-01-09,265.091675
2006-01-10,265.775818
2006-01-11,264.566772
2006-01-12,266.527832
2006-01-13,267.683289
2006-01-14,271.146790
2006-01-15,269.603210
2006-01-16,271.407135
2006-01-17,270.062225
2006-01-18,271.024414
2006-01-19,270.818390
2006-01-20,269.718689
2006-01-21,270.035492
2006-01-22,272.346588
2006-01-23,273.410187
2006-01-24,273.402740
2006-01-25,273.839691
2006-01-26,265.929443
2006-01-27,264.045654
2006-01-28,264.672272
2006-01-29,266.111572
2006-01-30,265.575043
2006-01-31,264.131165
2006-02-01,264.898010
2006-02-02,267.692078
2006-02-03,264.758575
2006-02-04,264.661469
2006-02-05,271.193420
2006-02-06,258.251801
2006-02-07,261.202148
2006-02-08,271.619507
2006-02-09,268.240021
2006-02-10,266.276123
2006-02-11,263.679230
2006-02-12,267.929352
2006-02-13,271.963440
2006-02-14,273.086060
2006-02-15,273.668732
2006-02-16,273.546814
2006-02-17,275.130890
2006-02-18,270.574188
2006-02-19,277.652954
2006-02-20,279.451416
2006-02-21,275.373322
2006-02-22,273.711273
2006-02-23,273.887573
2006-02-24,272.212372
2006-02-25,273.604614
2006-02-26,269.782928
2006-02-27,272.379181
2006-02-28,274.317566
2006-03-01,267.193298
2006-03-02,270.346771
2006-03-03,269.227661
2006-03-04,272.773224
2006-03-05,274.564362
2006-03-06,279.086548
2006-03-07,280.403839
2006-03-08,274.562958
2006-03-09,270.420563
2006-03-10,277.978882
2006-03-11,280.321564
2006-03-12,272.738922
2006-03-13,273.487030
2006-03-14,271.730011
2006-03-15,268.140015
2006-03-16,275.729370
