#Variables:
#tasmax(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3546 Latitude, -98.5642 Longitude (closest value to Latitude:35.3611, Longitude:-98.5712) "
#Original Data File(s):
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmax(K)"
""
yyyy-mm-dd,tasmax(K)
2006-01-01,271.659760
2006-01-02,272.044830
2006-01-03,273.139343
2006-01-04,275.448517
2006-01-05,276.301727
2006-01-06,278.175903
2006-01-07,279.343445
2006-01-08,281.899048
2006-01-09,277.981506
2006-01-10,282.309967
2006-01-11,278.644287
2006-01-12,280.381561
2006-01-13,279.454681
2006-01-14,283.545319
2006-01-15,288.924103
2006-01-16,291.500885
2006-01-17,283.935211
2006-01-18,276.187469
2006-01-19,272.255432
2006-01-20,274.631042
2006-01-21,273.972046
2006-01-22,277.687775
2006-01-23,275.111450
2006-01-24,277.959412
2006-01-25,279.877411
2006-01-26,283.740448
2006-01-27,288.984467
2006-01-28,285.068390
2006-01-29,279.374695
2006-01-30,284.985626
2006-01-31,282.145721
2006-02-01,288.217072
2006-02-02,288.969849
2006-02-03,293.668701
2006-02-04,287.211517
2006-02-05,274.363464
2006-02-06,280.572876
2006-02-07,282.549011
2006-02-08,282.448730
2006-02-09,282.573059
2006-02-10,284.822632
2006-02-11,283.827057
2006-02-12,281.664337
2006-02-13,276.653534
2006-02-14,278.301208
2006-02-15,280.002075
2006-02-16,281.106567
2006-02-17,283.647461
2006-02-18,277.729584
2006-02-19,276.356659
2006-02-20,276.007172
2006-02-21,285.375610
2006-02-22,282.952484
2006-02-23,288.713745
2006-02-24,293.077484
2006-02-25,296.351837
2006-02-26,290.331512
2006-02-27,296.080841
2006-02-28,289.960541
2006-03-01,290.808746
2006-03-02,289.993317
2006-03-03,286.294495
2006-03-04,287.441925
2006-03-05,284.455170
2006-03-06,279.152100
2006-03-07,293.610016
2006-03-08,292.968170
2006-03-09,289.378876
2006-03-10,295.155884
2006-03-11,292.237488
2006-03-12,293.089111
2006-03-13,292.621582
2006-03-14,292.953979
2006-03-15,290.352386
2006-03-16,284.907623
2006-03-17,286.371063
2006-03-18,297.073090
2006-03-19,301.750366
2006-03-20,303.917603
2006-03-21,299.356781
2006-03-22,301.534485
2006-03-23,301.751221
2006-03-24,298.626373
2006-03-25,285.549744
2006-03-26,280.086975
2006-03-27,281.200958
2006-03-28,280.244385
2006-03-29,286.235413
2006-03-30,292.712891
2006-03-31,288.464874
2006-04-01,282.540405
2006-04-02,280.494843
2006-04-03,284.977875
2006-04-04,285.821655
2006-04-05,286.750488
2006-04-06,291.035553
2006-04-07,292.258698
2006-04-08,295.218445
2006-04-09,297.532410
2006-04-10,298.108032
2006-04-11,297.702637
2006-04-12,291.845123
2006-04-13,295.952911
2006-04-14,300.692780
2006-04-15,303.431488
2006-04-16,302.731476
2006-04-17,299.398193
2006-04-18,301.310638
2006-04-19,298.803131
2006-04-20,291.133301
2006-04-21,296.241486
2006-04-22,301.822266
2006-04-23,295.962830
2006-04-24,293.997009
2006-04-25,289.053101
2006-04-26,292.991913
2006-04-27,292.633942
2006-04-28,294.229675
2006-04-29,294.754333
2006-04-30,303.656342
2006-05-01,305.347473
2006-05-02,300.001801
2006-05-03,299.768707
2006-05-04,300.137024
2006-05-05,304.241180
2006-05-06,305.522125
2006-05-07,303.828674
2006-05-08,303.125610
2006-05-09,305.557587
2006-05-10,300.881989
2006-05-11,302.729004
2006-05-12,300.005402
2006-05-13,300.823486
2006-05-14,304.530334
2006-05-15,300.674011
2006-05-16,300.825256
2006-05-17,303.238373
2006-05-18,296.605133
2006-05-19,300.956482
2006-05-20,295.507874
2006-05-21,303.995880
2006-05-22,304.479919
2006-05-23,304.520081
2006-05-24,303.985535
2006-05-25,300.926300
2006-05-26,302.704529
2006-05-27,300.907196
2006-05-28,297.654572
2006-05-29,301.114227
2006-05-30,301.694489
2006-05-31,306.430634
2006-06-01,304.440857
2006-06-02,302.763489
2006-06-03,303.831451
2006-06-04,305.878021
2006-06-05,307.835876
2006-06-06,307.712189
2006-06-07,304.834106
2006-06-08,305.839355
2006-06-09,302.169037
2006-06-10,295.483246
2006-06-11,301.780060
2006-06-12,301.159821
2006-06-13,308.511292
2006-06-14,304.299469
2006-06-15,300.160217
2006-06-16,304.900085
2006-06-17,306.305054
2006-06-18,307.820557
2006-06-19,309.543060
2006-06-20,310.258484
2006-06-21,309.213379
2006-06-22,309.742645
2006-06-23,310.269409
2006-06-24,307.767334
2006-06-25,306.352661
2006-06-26,307.386719
2006-06-27,308.320618
2006-06-28,307.168518
2006-06-29,305.788666
2006-06-30,306.763580
2006-07-01,309.333862
2006-07-02,306.473511
2006-07-03,309.166351
2006-07-04,304.095398
2006-07-05,305.263031
2006-07-06,295.030884
2006-07-07,301.244843
2006-07-08,302.978546
2006-07-09,302.400391
2006-07-10,304.867828
2006-07-11,304.893707
2006-07-12,307.107544
2006-07-13,308.384430
2006-07-14,309.671417
2006-07-15,310.866730
2006-07-16,309.495850
2006-07-17,310.713196
2006-07-18,309.983734
2006-07-19,308.112457
2006-07-20,310.389374
2006-07-21,311.622742
2006-07-22,312.647247
2006-07-23,312.482483
2006-07-24,313.153992
2006-07-25,314.711060
2006-07-26,315.733856
2006-07-27,315.560425
2006-07-28,313.961639
2006-07-29,313.746460
2006-07-30,312.216309
2006-07-31,311.394226
2006-08-01,308.940979
2006-08-02,306.294464
2006-08-03,305.228882
2006-08-04,310.214508
2006-08-05,311.838196
2006-08-06,310.419434
2006-08-07,308.825287
2006-08-08,309.819550
2006-08-09,313.876617
2006-08-10,313.709290
2006-08-11,314.850037
2006-08-12,314.607239
2006-08-13,313.439423
2006-08-14,312.557373
2006-08-15,312.537598
2006-08-16,312.940857
2006-08-17,312.824585
2006-08-18,312.626801
2006-08-19,311.956024
2006-08-20,308.571686
2006-08-21,306.803864
2006-08-22,306.528107
2006-08-23,306.819427
2006-08-24,305.492676
2006-08-25,304.205261
2006-08-26,305.437439
2006-08-27,308.838013
2006-08-28,308.752716
2006-08-29,307.044250
2006-08-30,303.915802
2006-08-31,302.424103
2006-09-01,306.121216
2006-09-02,304.414337
2006-09-03,304.845215
2006-09-04,299.274384
2006-09-05,301.191162
2006-09-06,303.324402
2006-09-07,303.277222
2006-09-08,302.024323
2006-09-09,300.803894
2006-09-10,296.322266
2006-09-11,294.857880
2006-09-12,297.768494
2006-09-13,300.785767
2006-09-14,304.431976
2006-09-15,303.282898
2006-09-16,303.821320
2006-09-17,304.294800
2006-09-18,304.441437
2006-09-19,307.133362
2006-09-20,303.501801
2006-09-21,303.998871
2006-09-22,301.441254
2006-09-23,304.188690
2006-09-24,300.978455
2006-09-25,300.460693
2006-09-26,300.686920
2006-09-27,301.444000
2006-09-28,304.629181
2006-09-29,303.147522
2006-09-30,301.860443
2006-10-01,299.683960
2006-10-02,301.696259
2006-10-03,303.532593
2006-10-04,298.270630
2006-10-05,294.880005
2006-10-06,300.274017
2006-10-07,300.563751
2006-10-08,298.774994
2006-10-09,301.373688
2006-10-10,297.312683
2006-10-11,295.490692
2006-10-12,297.361237
2006-10-13,299.455505
2006-10-14,300.754272
2006-10-15,297.762665
2006-10-16,300.005493
2006-10-17,297.273407
2006-10-18,291.896729
2006-10-19,294.291351
2006-10-20,297.961853
2006-10-21,296.436523
2006-10-22,291.036621
2006-10-23,296.824402
2006-10-24,299.410187
2006-10-25,299.887299
2006-10-26,299.292572
2006-10-27,299.378601
2006-10-28,295.837769
2006-10-29,296.558380
2006-10-30,298.865143
2006-10-31,296.580200
2006-11-01,295.998016
2006-11-02,298.308899
2006-11-03,297.141113
2006-11-04,297.742798
2006-11-05,294.314087
2006-11-06,298.955627
2006-11-07,290.546753
2006-11-08,282.958405
2006-11-09,288.278839
2006-11-10,295.070648
2006-11-11,293.296387
2006-11-12,291.017822
2006-11-13,288.036072
2006-11-14,288.106842
2006-11-15,292.611694
2006-11-16,295.639832
2006-11-17,293.796509
2006-11-18,289.598694
2006-11-19,289.242950
2006-11-20,292.271179
2006-11-21,291.628723
2006-11-22,290.276489
2006-11-23,288.213409
2006-11-24,286.206512
2006-11-25,288.959045
2006-11-26,291.729095
2006-11-27,292.175995
2006-11-28,297.206635
2006-11-29,285.645660
2006-11-30,281.771393
2006-12-01,281.940948
2006-12-02,282.693634
2006-12-03,286.527832
2006-12-04,285.791718
2006-12-05,287.265503
2006-12-06,280.887268
2006-12-07,278.767609
2006-12-08,273.777130
2006-12-09,272.847717
2006-12-10,278.286621
2006-12-11,283.109039
2006-12-12,288.768311
2006-12-13,287.700500
2006-12-14,284.790436
2006-12-15,275.577881
2006-12-16,280.100159
2006-12-17,280.543213
2006-12-18,282.101868
2006-12-19,279.762207
2006-12-20,283.462524
2006-12-21,282.922729
2006-12-22,279.405853
2006-12-23,281.205841
2006-12-24,275.186798
