#Variables:
#tasmin(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3546 Latitude, -98.5642 Longitude (closest value to Latitude:35.3611, Longitude:-98.5712) "
#Original Data File(s):
#agg_macav2metdata_tasmin_HadGEM2-CC365_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin(K)"
""
yyyy-mm-dd,tasmin(K)
2006-01-01,272.638794
2006-01-02,272.108093
2006-01-03,274.946747
2006-01-04,269.119476
2006-01-05,267.649841
2006-01-06,266.732147
2006-01-07,267.754120
2006-01-08,269.754120
2006-01-09,271.063446
2006-01-10,270.188232
2006-01-11,268.759827
2006-01-12,270.012695
2006-01-13,271.849335
2006-01-14,274.128357
2006-01-15,273.817963
2006-01-16,269.952484
2006-01-17,268.784393
2006-01-18,270.311218
2006-01-19,273.371643
2006-01-20,271.268372
2006-01-21,274.209961
2006-01-22,276.446228
2006-01-23,272.800140
2006-01-24,269.484314
2006-01-25,265.268433
2006-01-26,266.248932
2006-01-27,271.259521
2006-01-28,269.728455
2006-01-29,271.787720
2006-01-30,273.532288
2006-01-31,274.343567
2006-02-01,275.702911
2006-02-02,273.837006
2006-02-03,272.984100
2006-02-04,273.856262
2006-02-05,273.590088
2006-02-06,273.495483
2006-02-07,273.582397
2006-02-08,275.976746
2006-02-09,277.944397
2006-02-10,272.732880
2006-02-11,267.399261
2006-02-12,269.088806
2006-02-13,271.659821
2006-02-14,273.094604
2006-02-15,273.954163
2006-02-16,276.744202
2006-02-17,281.548889
2006-02-18,281.217072
2006-02-19,274.417267
2006-02-20,270.419983
2006-02-21,268.209137
2006-02-22,270.545746
2006-02-23,272.617004
2006-02-24,276.796112
2006-02-25,278.372986
2006-02-26,277.090027
2006-02-27,272.639404
2006-02-28,274.925720
2006-03-01,274.362427
2006-03-02,276.919708
2006-03-03,279.667633
2006-03-04,279.815643
2006-03-05,280.085754
2006-03-06,281.477386
2006-03-07,278.215454
2006-03-08,281.682526
2006-03-09,284.093903
2006-03-10,277.789307
2006-03-11,277.695251
2006-03-12,277.426697
2006-03-13,275.500977
2006-03-14,273.821259
2006-03-15,276.695129
2006-03-16,277.745911
