#Variables:
#tasmin(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3546 Latitude, -98.5642 Longitude (closest value to Latitude:35.3611, Longitude:-98.5712) "
#Original Data File(s):
#agg_macav2metdata_tasmin_IPSL-CM5A-MR_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin(K)"
""
yyyy-mm-dd,tasmin(K)
2006-01-01,272.653778
2006-01-02,269.117432
2006-01-03,271.479401
2006-01-04,273.643066
2006-01-05,276.341492
2006-01-06,273.523743
2006-01-07,271.248688
2006-01-08,280.607056
2006-01-09,276.251862
2006-01-10,271.019867
2006-01-11,267.756500
2006-01-12,273.303314
2006-01-13,271.904877
2006-01-14,272.176880
2006-01-15,269.660034
2006-01-16,265.224457
2006-01-17,263.021973
2006-01-18,262.991913
2006-01-19,263.941528
2006-01-20,268.548065
2006-01-21,272.611145
2006-01-22,272.194275
2006-01-23,276.692291
2006-01-24,273.400848
2006-01-25,268.878815
2006-01-26,262.147858
2006-01-27,264.217194
2006-01-28,263.843140
2006-01-29,265.367676
2006-01-30,271.285400
2006-01-31,266.398651
2006-02-01,264.437256
2006-02-02,263.734863
2006-02-03,269.603912
2006-02-04,272.754425
2006-02-05,265.840210
2006-02-06,263.011963
2006-02-07,268.688995
2006-02-08,278.024017
2006-02-09,278.370972
2006-02-10,274.045532
2006-02-11,271.181885
2006-02-12,284.018616
2006-02-13,275.954163
2006-02-14,269.504608
2006-02-15,270.371033
2006-02-16,270.504242
2006-02-17,268.637817
2006-02-18,271.807251
2006-02-19,276.530640
2006-02-20,272.257538
2006-02-21,268.590179
2006-02-22,268.037018
2006-02-23,270.347260
2006-02-24,271.086029
2006-02-25,272.354950
2006-02-26,273.158020
2006-02-27,276.889557
2006-02-28,272.836212
2006-03-01,274.768250
2006-03-02,275.698853
2006-03-03,278.593353
2006-03-04,276.949036
2006-03-05,282.784485
2006-03-06,280.192688
2006-03-07,276.310272
2006-03-08,276.557892
2006-03-09,275.519470
2006-03-10,274.508759
2006-03-11,281.538269
2006-03-12,281.663666
2006-03-13,276.927338
2006-03-14,275.138519
2006-03-15,271.511627
2006-03-16,271.445648
