#Variables:
#tasmin(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3546 Latitude, -98.5642 Longitude (closest value to Latitude:35.3611, Longitude:-98.5712) "
#Original Data File(s):
#agg_macav2metdata_tasmin_IPSL-CM5B-LR_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin(K)"
""
yyyy-mm-dd,tasmin(K)
2006-01-01,265.149841
2006-01-02,264.873383
2006-01-03,261.404114
2006-01-04,266.968781
2006-01-05,272.385529
2006-01-06,269.571869
2006-01-07,266.913116
2006-01-08,266.959351
2006-01-09,269.504395
2006-01-10,272.662811
2006-01-11,271.702057
2006-01-12,271.058929
2006-01-13,267.085815
2006-01-14,269.168091
2006-01-15,271.038544
2006-01-16,267.152740
2006-01-17,263.644379
2006-01-18,265.937103
2006-01-19,268.967407
2006-01-20,272.464417
2006-01-21,272.464813
2006-01-22,274.191467
2006-01-23,270.135010
2006-01-24,272.804565
2006-01-25,275.085052
2006-01-26,269.680695
2006-01-27,270.396545
2006-01-28,270.719788
2006-01-29,266.758820
2006-01-30,268.259308
2006-01-31,267.037872
2006-02-01,271.083923
2006-02-02,270.326141
2006-02-03,271.815582
2006-02-04,272.786835
2006-02-05,274.890778
2006-02-06,280.188599
2006-02-07,277.646545
2006-02-08,277.205109
2006-02-09,278.844788
2006-02-10,280.697052
2006-02-11,278.939911
2006-02-12,280.558197
2006-02-13,280.304993
2006-02-14,273.554291
2006-02-15,277.934692
2006-02-16,276.707916
2006-02-17,276.048584
2006-02-18,276.547913
2006-02-19,282.551056
2006-02-20,276.999817
2006-02-21,276.154449
2006-02-22,278.986481
2006-02-23,279.482697
2006-02-24,284.646484
2006-02-25,283.779968
2006-02-26,279.481873
2006-02-27,278.512329
2006-02-28,275.322205
2006-03-01,274.853271
2006-03-02,273.618805
2006-03-03,278.535278
2006-03-04,280.012909
2006-03-05,274.402863
2006-03-06,274.097900
2006-03-07,269.353058
2006-03-08,272.447327
2006-03-09,275.638763
2006-03-10,272.926025
2006-03-11,276.235413
2006-03-12,275.689392
2006-03-13,275.008240
2006-03-14,276.016266
2006-03-15,267.820465
2006-03-16,269.409180
