#Variables:
#tasmin(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3546 Latitude, -98.5642 Longitude (closest value to Latitude:35.3611, Longitude:-98.5712) "
#Original Data File(s):
#agg_macav2metdata_tasmin_MIROC5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin(K)"
""
yyyy-mm-dd,tasmin(K)
2006-01-01,273.036530
2006-01-02,273.040283
2006-01-03,269.139313
2006-01-04,274.652802
2006-01-05,270.158813
2006-01-06,268.012726
2006-01-07,271.894257
2006-01-08,270.149780
2006-01-09,270.097717
2006-01-10,264.463043
2006-01-11,268.498291
2006-01-12,269.565460
2006-01-13,271.826935
2006-01-14,265.625519
2006-01-15,268.393646
2006-01-16,264.487915
2006-01-17,266.813904
2006-01-18,272.565277
2006-01-19,269.273254
2006-01-20,272.116699
2006-01-21,268.361450
2006-01-22,263.086823
2006-01-23,262.341003
2006-01-24,261.919403
2006-01-25,259.053833
2006-01-26,258.842926
2006-01-27,258.766235
2006-01-28,264.826202
2006-01-29,267.520630
2006-01-30,263.756287
2006-01-31,266.436096
2006-02-01,267.240662
2006-02-02,272.115234
2006-02-03,265.597321
2006-02-04,265.805450
2006-02-05,265.582367
2006-02-06,272.662933
2006-02-07,272.910217
2006-02-08,274.506470
2006-02-09,276.653839
2006-02-10,274.196930
2006-02-11,271.567352
2006-02-12,269.153107
2006-02-13,272.498688
2006-02-14,273.483124
2006-02-15,270.396088
2006-02-16,273.079163
2006-02-17,273.940369
2006-02-18,273.081573
2006-02-19,269.242310
2006-02-20,277.710876
2006-02-21,274.163910
2006-02-22,273.102112
2006-02-23,276.540802
2006-02-24,274.656891
2006-02-25,271.141174
2006-02-26,272.141968
2006-02-27,273.101593
2006-02-28,279.563873
2006-03-01,275.959534
2006-03-02,269.229889
2006-03-03,274.508881
2006-03-04,271.983185
2006-03-05,269.132721
2006-03-06,270.677826
2006-03-07,279.078461
2006-03-08,281.222351
2006-03-09,282.025818
2006-03-10,278.307007
2006-03-11,272.508850
2006-03-12,279.288300
2006-03-13,283.195312
2006-03-14,277.999847
2006-03-15,282.646698
2006-03-16,284.296539
