#Variables:
#tasmin(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3546 Latitude, -98.5642 Longitude (closest value to Latitude:35.3611, Longitude:-98.5712) "
#Original Data File(s):
#agg_macav2metdata_tasmin_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin(K)"
""
yyyy-mm-dd,tasmin(K)
2006-01-01,273.946899
2006-01-02,275.927734
2006-01-03,271.061157
2006-01-04,274.444763
2006-01-05,271.593323
2006-01-06,274.140503
2006-01-07,276.145874
2006-01-08,270.689392
2006-01-09,269.844147
2006-01-10,269.147491
2006-01-11,266.707031
2006-01-12,271.539368
2006-01-13,271.672913
2006-01-14,268.188171
2006-01-15,266.643097
2006-01-16,264.077850
2006-01-17,266.074371
2006-01-18,264.323944
2006-01-19,271.140381
2006-01-20,264.900269
2006-01-21,258.835480
2006-01-22,259.357361
2006-01-23,261.179626
2006-01-24,261.722260
2006-01-25,265.248077
2006-01-26,264.588654
2006-01-27,261.772797
2006-01-28,261.513519
2006-01-29,268.637085
2006-01-30,267.645447
2006-01-31,258.952637
2006-02-01,256.212250
2006-02-02,252.302002
2006-02-03,259.041931
2006-02-04,270.843475
2006-02-05,270.837830
2006-02-06,271.524567
2006-02-07,270.868164
2006-02-08,261.782837
2006-02-09,267.646576
2006-02-10,276.655609
2006-02-11,280.684052
2006-02-12,277.748840
2006-02-13,277.832397
2006-02-14,276.479370
2006-02-15,279.046295
2006-02-16,283.802948
2006-02-17,284.984467
2006-02-18,284.472015
2006-02-19,281.235718
2006-02-20,277.057587
2006-02-21,275.886658
2006-02-22,272.425812
2006-02-23,267.272430
2006-02-24,275.145386
2006-02-25,268.182129
2006-02-26,265.887146
2006-02-27,271.281982
2006-02-28,276.873444
2006-03-01,277.843140
2006-03-02,279.357056
2006-03-03,277.716614
2006-03-04,272.973877
2006-03-05,275.894562
2006-03-06,277.780029
2006-03-07,278.106079
2006-03-08,265.855804
2006-03-09,268.585480
2006-03-10,273.279358
2006-03-11,273.618195
2006-03-12,273.804565
2006-03-13,268.978394
2006-03-14,272.332581
2006-03-15,269.501404
2006-03-16,270.449158
