#Variables:
#tasmin(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3546 Latitude, -98.5642 Longitude (closest value to Latitude:35.3611, Longitude:-98.5712) "
#Original Data File(s):
#agg_macav2metdata_tasmin_bcc-csm1-1-m_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin(K)"
""
yyyy-mm-dd,tasmin(K)
2006-01-01,270.997986
2006-01-02,271.495117
2006-01-03,276.676819
2006-01-04,273.384979
2006-01-05,276.286407
2006-01-06,276.117065
2006-01-07,264.638367
2006-01-08,264.249207
2006-01-09,265.279541
2006-01-10,265.845245
2006-01-11,268.658417
2006-01-12,271.721313
2006-01-13,273.792786
2006-01-14,274.771606
2006-01-15,273.710205
2006-01-16,275.269409
2006-01-17,274.293121
2006-01-18,273.859283
2006-01-19,276.723907
2006-01-20,274.225372
2006-01-21,275.935516
2006-01-22,265.722321
2006-01-23,265.716736
2006-01-24,267.063080
2006-01-25,264.489838
2006-01-26,264.105835
2006-01-27,269.336121
2006-01-28,268.562347
2006-01-29,273.116089
2006-01-30,272.880432
2006-01-31,272.788727
2006-02-01,271.887695
2006-02-02,277.121765
2006-02-03,278.417542
2006-02-04,277.320251
2006-02-05,276.850067
2006-02-06,270.876526
2006-02-07,270.856415
2006-02-08,266.335205
2006-02-09,265.832397
2006-02-10,267.604462
2006-02-11,266.259308
2006-02-12,265.813782
2006-02-13,271.669067
2006-02-14,268.853668
2006-02-15,270.949402
2006-02-16,272.745575
2006-02-17,274.874329
2006-02-18,276.458862
2006-02-19,275.006866
2006-02-20,272.096619
2006-02-21,273.105377
2006-02-22,274.778320
2006-02-23,272.434509
2006-02-24,277.507324
2006-02-25,273.435272
2006-02-26,272.486786
2006-02-27,275.328918
2006-02-28,273.115723
2006-03-01,274.860107
2006-03-02,280.734100
2006-03-03,276.593842
2006-03-04,278.090546
2006-03-05,284.150146
2006-03-06,273.849915
2006-03-07,277.963501
2006-03-08,271.743774
2006-03-09,273.793121
2006-03-10,275.563507
2006-03-11,275.900513
2006-03-12,279.005676
2006-03-13,275.986969
2006-03-14,276.518372
2006-03-15,280.955750
2006-03-16,279.124634
