#Variables:
#tasmax(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3129 Latitude, -98.5226 Longitude (closest value to Latitude:35.3303, Longitude:-98.5202) "
#Original Data File(s):
#agg_macav2metdata_tasmax_BNU-ESM_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmax(K)"
""
yyyy-mm-dd,tasmax(K)
2006-01-01,285.506500
2006-01-02,291.747131
2006-01-03,287.923279
2006-01-04,289.426880
2006-01-05,291.415161
2006-01-06,293.394012
2006-01-07,290.697571
2006-01-08,283.489197
2006-01-09,284.863068
2006-01-10,283.922302
2006-01-11,282.053680
2006-01-12,277.958557
2006-01-13,277.263580
2006-01-14,277.460999
2006-01-15,281.753448
2006-01-16,284.323608
2006-01-17,279.865540
2006-01-18,282.987915
2006-01-19,278.733826
2006-01-20,278.778687
2006-01-21,273.796661
2006-01-22,277.994659
2006-01-23,280.283447
2006-01-24,278.021820
2006-01-25,276.849915
2006-01-26,282.292603
2006-01-27,277.576416
2006-01-28,276.014343
2006-01-29,274.329498
2006-01-30,274.753235
2006-01-31,266.515320
2006-02-01,276.035950
2006-02-02,277.563904
2006-02-03,278.947113
2006-02-04,281.799164
2006-02-05,283.007660
2006-02-06,282.962708
2006-02-07,282.403809
2006-02-08,282.989044
2006-02-09,286.493774
2006-02-10,288.710052
2006-02-11,293.325806
2006-02-12,288.330353
2006-02-13,280.013397
2006-02-14,276.858765
2006-02-15,283.017059
2006-02-16,288.267670
2006-02-17,283.483917
2006-02-18,279.145508
2006-02-19,285.948090
2006-02-20,291.770172
2006-02-21,290.315826
2006-02-22,288.228485
2006-02-23,289.675751
2006-02-24,285.944733
2006-02-25,287.489929
2006-02-26,292.830811
2006-02-27,300.437531
2006-02-28,297.165558
2006-03-01,290.982635
2006-03-02,282.151001
2006-03-03,289.779297
2006-03-04,275.884277
2006-03-05,276.606171
2006-03-06,276.920593
2006-03-07,276.611298
2006-03-08,283.177765
2006-03-09,285.646881
2006-03-10,289.160767
2006-03-11,294.246613
2006-03-12,292.995483
2006-03-13,289.407196
2006-03-14,284.354370
2006-03-15,291.295563
2006-03-16,283.276978
2006-03-17,282.932556
2006-03-18,277.276306
2006-03-19,278.933960
2006-03-20,283.137695
2006-03-21,281.747772
2006-03-22,279.428192
2006-03-23,281.501343
2006-03-24,284.766266
2006-03-25,283.050446
2006-03-26,285.488525
2006-03-27,292.224365
2006-03-28,290.837311
2006-03-29,293.498993
2006-03-30,297.814697
2006-03-31,297.320007
2006-04-01,291.201691
2006-04-02,284.463531
2006-04-03,284.120911
2006-04-04,287.444000
2006-04-05,286.471039
2006-04-06,280.869995
2006-04-07,284.713287
2006-04-08,295.033142
2006-04-09,291.204559
2006-04-10,290.147186
2006-04-11,289.847961
2006-04-12,295.281342
2006-04-13,292.503815
2006-04-14,292.493011
2006-04-15,287.510345
2006-04-16,295.913025
2006-04-17,300.421936
2006-04-18,301.192047
2006-04-19,296.141052
2006-04-20,291.303741
2006-04-21,298.427582
2006-04-22,297.251129
2006-04-23,292.690796
2006-04-24,298.290283
2006-04-25,298.458557
2006-04-26,297.242523
2006-04-27,296.744385
2006-04-28,295.897827
2006-04-29,290.427826
2006-04-30,289.687958
2006-05-01,288.968323
2006-05-02,294.687958
2006-05-03,299.554565
2006-05-04,300.323364
2006-05-05,298.076111
2006-05-06,297.174011
2006-05-07,298.952301
2006-05-08,302.390930
2006-05-09,297.026062
2006-05-10,301.414001
2006-05-11,299.966217
2006-05-12,297.611755
2006-05-13,280.195709
2006-05-14,290.796509
2006-05-15,295.146454
2006-05-16,297.744965
2006-05-17,299.685944
2006-05-18,300.600403
2006-05-19,304.236755
2006-05-20,307.550171
2006-05-21,304.643219
2006-05-22,301.282043
2006-05-23,303.203094
2006-05-24,304.662048
2006-05-25,304.235229
2006-05-26,304.123840
2006-05-27,307.836243
2006-05-28,307.663086
2006-05-29,307.190155
2006-05-30,305.969177
2006-05-31,309.343445
2006-06-01,309.724518
2006-06-02,309.633972
2006-06-03,309.567108
2006-06-04,307.375122
2006-06-05,306.562134
2006-06-06,304.933197
2006-06-07,305.469543
2006-06-08,304.963928
2006-06-09,306.250549
2006-06-10,310.149811
2006-06-11,310.197968
2006-06-12,308.701447
2006-06-13,305.968231
2006-06-14,308.349518
2006-06-15,307.071442
2006-06-16,305.904602
2006-06-17,301.991058
2006-06-18,302.016541
2006-06-19,303.150635
2006-06-20,307.316345
2006-06-21,308.415161
2006-06-22,307.417938
2006-06-23,307.096985
2006-06-24,307.055237
2006-06-25,307.471863
2006-06-26,307.262756
2006-06-27,307.601471
2006-06-28,308.644684
2006-06-29,308.961182
2006-06-30,309.162201
2006-07-01,308.380402
2006-07-02,307.418579
2006-07-03,306.001221
2006-07-04,304.821686
2006-07-05,303.234589
2006-07-06,303.629578
2006-07-07,303.279846
2006-07-08,303.449066
2006-07-09,303.778717
2006-07-10,305.030273
2006-07-11,305.369324
2006-07-12,304.446350
2006-07-13,302.568115
2006-07-14,301.039368
2006-07-15,302.504608
2006-07-16,302.157318
2006-07-17,303.822968
2006-07-18,304.600494
2006-07-19,308.627472
2006-07-20,304.490051
2006-07-21,306.703033
2006-07-22,308.703705
2006-07-23,306.805389
2006-07-24,305.587189
2006-07-25,307.051392
2006-07-26,308.900116
2006-07-27,312.149231
2006-07-28,310.969360
2006-07-29,307.123138
2006-07-30,305.157288
2006-07-31,307.595947
2006-08-01,307.180878
2006-08-02,307.350433
2006-08-03,308.268890
2006-08-04,307.838989
2006-08-05,308.283051
2006-08-06,309.233002
2006-08-07,308.168823
2006-08-08,308.141846
2006-08-09,309.093506
2006-08-10,308.594421
2006-08-11,308.102753
2006-08-12,308.567719
2006-08-13,309.700684
2006-08-14,310.953339
2006-08-15,310.214203
2006-08-16,311.012054
2006-08-17,312.820648
2006-08-18,313.928497
2006-08-19,312.870483
2006-08-20,308.573395
2006-08-21,306.466736
2006-08-22,306.740479
2006-08-23,308.494720
2006-08-24,308.073639
2006-08-25,304.960663
2006-08-26,303.190948
2006-08-27,307.564453
2006-08-28,309.104156
2006-08-29,307.662842
2006-08-30,305.426483
2006-08-31,303.679291
2006-09-01,301.431427
2006-09-02,300.939880
2006-09-03,301.140625
2006-09-04,298.379120
2006-09-05,301.915253
2006-09-06,304.551147
2006-09-07,304.111267
2006-09-08,305.375122
2006-09-09,306.070709
2006-09-10,305.705353
2006-09-11,304.969025
2006-09-12,303.255035
2006-09-13,300.576843
2006-09-14,299.315094
2006-09-15,297.286896
2006-09-16,300.318237
2006-09-17,303.597717
2006-09-18,304.090149
2006-09-19,302.346497
2006-09-20,301.966949
2006-09-21,300.187225
2006-09-22,302.016235
2006-09-23,301.125153
2006-09-24,301.528809
2006-09-25,296.726288
2006-09-26,295.615448
2006-09-27,292.073273
2006-09-28,300.074463
2006-09-29,300.150116
2006-09-30,301.622437
2006-10-01,302.140259
2006-10-02,300.113281
2006-10-03,287.040192
2006-10-04,290.472778
2006-10-05,289.732849
2006-10-06,286.797272
2006-10-07,293.864319
2006-10-08,289.795441
2006-10-09,288.953247
2006-10-10,292.312561
2006-10-11,292.760620
2006-10-12,298.139221
2006-10-13,296.767395
2006-10-14,292.246063
2006-10-15,289.390320
2006-10-16,294.669952
2006-10-17,296.764618
2006-10-18,293.238770
2006-10-19,296.303284
2006-10-20,297.643890
2006-10-21,294.524139
2006-10-22,291.271271
2006-10-23,286.935608
2006-10-24,287.967834
2006-10-25,294.799835
2006-10-26,298.566040
2006-10-27,302.070862
2006-10-28,301.938385
2006-10-29,293.353210
2006-10-30,296.192108
2006-10-31,288.229034
2006-11-01,293.916473
2006-11-02,299.200043
2006-11-03,301.333405
2006-11-04,300.333771
2006-11-05,301.489960
2006-11-06,302.155182
2006-11-07,302.325714
2006-11-08,297.000885
2006-11-09,296.470978
2006-11-10,290.776184
2006-11-11,284.999359
2006-11-12,281.121887
2006-11-13,281.465424
2006-11-14,283.676392
2006-11-15,285.859253
2006-11-16,293.525482
2006-11-17,296.359009
2006-11-18,288.690979
2006-11-19,283.558441
2006-11-20,280.677734
2006-11-21,286.269196
2006-11-22,291.703949
2006-11-23,288.707397
2006-11-24,287.060120
2006-11-25,283.183746
2006-11-26,285.777283
2006-11-27,276.567596
2006-11-28,275.748230
2006-11-29,280.159637
2006-11-30,276.262360
2006-12-01,280.442993
2006-12-02,281.763885
2006-12-03,281.426331
2006-12-04,281.083496
2006-12-05,284.766632
2006-12-06,287.550537
2006-12-07,281.761475
2006-12-08,284.273956
2006-12-09,286.294586
2006-12-10,284.252563
2006-12-11,288.745422
2006-12-12,290.328308
2006-12-13,280.695557
2006-12-14,281.568329
2006-12-15,280.523010
2006-12-16,285.175293
2006-12-17,285.095490
2006-12-18,286.783478
2006-12-19,288.549988
2006-12-20,288.082092
2006-12-21,286.479126
2006-12-22,282.492157
2006-12-23,279.617096
2006-12-24,279.460541
