#Variables:
#tasmin(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3129 Latitude, -98.5226 Longitude (closest value to Latitude:35.3303, Longitude:-98.5202) "
#Original Data File(s):
#agg_macav2metdata_tasmin_GFDL-ESM2G_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin(K)"
""
yyyy-mm-dd,tasmin(K)
2006-01-01,274.077789
2006-01-02,277.050934
2006-01-03,273.604584
2006-01-04,278.964508
2006-01-05,274.271973
2006-01-06,273.386841
2006-01-07,279.562805
2006-01-08,270.694305
2006-01-09,268.380676
2006-01-10,269.918976
2006-01-11,271.826813
2006-01-12,279.583649
2006-01-13,282.172516
2006-01-14,273.311981
2006-01-15,269.986298
2006-01-16,268.462799
2006-01-17,268.422974
2006-01-18,268.266052
2006-01-19,268.121277
2006-01-20,266.772125
2006-01-21,269.407623
2006-01-22,271.942444
2006-01-23,273.922882
2006-01-24,277.014679
2006-01-25,270.680206
2006-01-26,266.012604
2006-01-27,262.446594
2006-01-28,264.050049
2006-01-29,264.839233
2006-01-30,265.752930
2006-01-31,270.486328
2006-02-01,273.844788
2006-02-02,269.937927
2006-02-03,270.640167
2006-02-04,269.808319
2006-02-05,271.578857
2006-02-06,271.471985
2006-02-07,273.663971
2006-02-08,278.327789
2006-02-09,279.787811
2006-02-10,276.404907
2006-02-11,277.322510
2006-02-12,286.255371
2006-02-13,264.505432
2006-02-14,258.650574
2006-02-15,265.357849
2006-02-16,273.052490
2006-02-17,276.050049
2006-02-18,279.814850
2006-02-19,282.497894
2006-02-20,283.049042
2006-02-21,272.129333
2006-02-22,269.768158
2006-02-23,276.996368
2006-02-24,277.147369
2006-02-25,283.509857
2006-02-26,285.607635
2006-02-27,281.124237
2006-02-28,277.350281
2006-03-01,283.385681
2006-03-02,285.152405
2006-03-03,286.214294
2006-03-04,285.269501
2006-03-05,272.651245
2006-03-06,268.005920
2006-03-07,274.575806
2006-03-08,276.064514
2006-03-09,271.311798
2006-03-10,275.007782
2006-03-11,279.024384
2006-03-12,278.990173
2006-03-13,270.652344
2006-03-14,280.426849
2006-03-15,277.503815
2006-03-16,276.910950
