#Variables:
#tasmin(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 35.3129 Latitude, -98.5226 Longitude (closest value to Latitude:35.3303, Longitude:-98.5202) "
#Original Data File(s):
#agg_macav2metdata_tasmin_HadGEM2-ES365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmin(K)"
""
yyyy-mm-dd,tasmin(K)
2006-01-01,280.300446
2006-01-02,275.785828
2006-01-03,276.092438
2006-01-04,275.575439
2006-01-05,279.503113
2006-01-06,267.083557
2006-01-07,268.069946
2006-01-08,270.264099
2006-01-09,268.617889
2006-01-10,269.068329
2006-01-11,269.048035
2006-01-12,267.754028
2006-01-13,268.139465
2006-01-14,268.347107
2006-01-15,269.694397
2006-01-16,271.206757
2006-01-17,273.259003
2006-01-18,274.941803
2006-01-19,274.571594
2006-01-20,273.134918
2006-01-21,271.015930
2006-01-22,276.029694
2006-01-23,273.247162
2006-01-24,272.774139
2006-01-25,277.837067
2006-01-26,278.180756
2006-01-27,274.955231
2006-01-28,269.229492
2006-01-29,267.519928
2006-01-30,266.860138
2006-01-31,268.378052
2006-02-01,267.282196
2006-02-02,264.217499
2006-02-03,267.946442
2006-02-04,273.980377
2006-02-05,275.556854
2006-02-06,273.787903
2006-02-07,276.214417
2006-02-08,272.699493
2006-02-09,268.355316
2006-02-10,272.196777
2006-02-11,275.399261
2006-02-12,275.012634
2006-02-13,275.002625
2006-02-14,276.826324
2006-02-15,271.605591
2006-02-16,264.427399
2006-02-17,265.550812
2006-02-18,271.389099
2006-02-19,276.917267
2006-02-20,277.671509
2006-02-21,278.986328
2006-02-22,282.451324
2006-02-23,282.104980
2006-02-24,281.754456
2006-02-25,277.790253
2006-02-26,272.235504
2006-02-27,269.994110
2006-02-28,270.610931
2006-03-01,270.636169
2006-03-02,266.674957
2006-03-03,272.678375
2006-03-04,276.300690
2006-03-05,281.714691
2006-03-06,279.115967
2006-03-07,285.081879
2006-03-08,275.859680
2006-03-09,274.746521
2006-03-10,270.651520
2006-03-11,276.989441
2006-03-12,276.019257
2006-03-13,272.197784
2006-03-14,269.849670
2006-03-15,272.076660
2006-03-16,275.383270
